"Pos","Driver","Nationality","Team","Points"
"1","Nelson Piquet","Brazilian","Brabham-Ford","50"
"2","Carlos Reutemann","Argentinean","Williams-Ford","49"
"3","Alan  Jones","Australian","Williams-Ford","46"
"4","Jacques Laffite","French","Ligier-Matra","44"
"5","Alain Prost","French","Renault","43"
"6","John Watson","British","McLaren-Ford","27"
"7","Gilles Villeneuve","Canadian","Ferrari","25"
"8","Elio de Angelis","Italian","Lotus-Ford","14"
"9","Rene Arnoux","French","Renault","11"
"10","Hector Rebaque","Mexican","Brabham-Ford","11"
"11","Riccardo Patrese","Italian","Arrows-Ford","10"
"12","Eddie  Cheever","American","Tyrrell-Ford","10"
"13","Didier Pironi","French","Ferrari","9"
"14","Nigel Mansell","British","Lotus-Ford","8"
"15","Bruno Giacomelli","Italian","Alfa Romeo","7"
"16","Marc Surer","Swiss","Theodore-Ford","4"
"17","Mario Andretti","American","Alfa Romeo","3"
"18","Andrea de Cesaris","Italian","McLaren-Ford","1"
"19","Patrick Tambay","French","Ligier-Matra","1"
"20","Slim Borgudd","Swedish","ATS-Ford","1"
"21","Eliseo Salazar","Chilean","Ensign-Ford","1"
"22","Jean Pierre Jarier","French","Osella-Ford","0"
"23","Derek Daly","Irish","March-Ford","0"
"24","Siegfried Stohr","Italian","Arrows-Ford","0"
"25","Chico Serra","Brazilian","Fittipaldi-Ford","0"
"26","Keke Rosberg","Finnish","Fittipaldi-Ford","0"
"27","Michele Alboreto","Italian","Tyrrell-Ford","0"
"28","Brian Henton","British","Toleman-Hart","0"
"29","Jan Lammers","Dutch","ATS-Ford","0"
"30","Ricardo Zunino","Argentinean","Tyrrell-Ford","0"
"31","Piercarlo Ghinzani","Italian","Osella-Ford","0"
"32","Jean Pierre Jabouille","French","Ligier-Matra","0"
"33","Derek Warwick","British","Toleman-Hart","0"
"34","Beppe Gabbiani","Italian","Osella-Ford","0"
"35","Miguel Angel Guerra","Argentinean","Osella-Ford","0"
"36","Kevin Cogon","American","Tyrrell-Ford","0"
"37","Jacques Villeneuve","Canadian","Arrows-Ford","0"
"38","Ricardo Londono","Colombian","Ensign-Ford","0"
"39","Giorgio Francia","Italian","Osella-Ford","0"
