"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","07/03/1970","Jack Brabham","Brabham-Ford","80","1:49'34.6"
"Spain","19/04/1970","Jackie Stewart","March-Ford","90","2:10'58.2"
"Monaco","10/05/1970","Jochen Rindt","Lotus-Ford","80","1:54'36.6"
"Belgium","07/06/1970","Pedro Rodriguez","BRM","28","1:38'09.9"
"Netherlands","21/06/1970","Jochen Rindt","Lotus-Ford","80","1:50'43.41"
"France","05/07/1970","Jochen Rindt","Lotus-Ford","38","1:55'57.00"
"Great Britain","18/07/1970","Jochen Rindt","Lotus-Ford","80","1:57'02.0"
"Germany","02/08/1970","Jochen Rindt","Lotus-Ford","50","1:42'00.3"
"Austria","16/08/1970","Jacky Ickx","Ferrari","60","1:42'17.32"
"Italy","06/09/1970","Clay Regazzoni","Ferrari","68","1:39'06.88"
"Canada","20/09/1970","Jacky Ickx","Ferrari","90","2:21'18.4"
"United States","04/10/1970","Emerson Fittipaldi","Lotus-Ford","108","1:57'32.79"
"Mexico","25/10/1970","Jacky Ickx","Ferrari","65","1:53'28.36"
