"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Monaco","14/05/1961","Stirling Moss","Lotus-Climax","100","2:45'50.1"
"Netherlands","22/05/1961","Wolfgang von Trips","Ferrari","75","2:01'52.1"
"Belgium","18/06/1961","Phil Hill","Ferrari","30","2:03'03.8"
"France","02/07/1961","Giancarlo Baghetti","Ferrari","52","2:14'17.5"
"Great Britain","15/07/1961","Wolfgang von Trips","Ferrari","75","2:40'53.6"
"Germany","06/08/1961","Stirling Moss","Lotus-Climax","15","2:18'12.4"
"Italy","10/09/1961","Phil Hill","Ferrari","43","2:03'13.0"
"United States","08/10/1961","Innes Ireland","Lotus-Climax","100","2:13'45.8"
