"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","01/03/1992","Nigel Mansell","Williams-Renault","72","1:36'45.320"
"Mexico","22/03/1992","Nigel Mansell","Williams-Renault","69","1:31'53.587"
"Brazil","05/04/1992","Nigel Mansell","Williams-Renault","71","1:36'51.85"
"Spain","03/05/1992","Nigel Mansell","Williams-Renault","65","1:56'10.674"
"San Marino","17/05/1992","Nigel Mansell","Williams-Renault","60","1:28'40.927"
"Monaco","31/05/1992","Ayrton Senna","McLaren-Honda","78","1:50'59.372"
"Canada","14/06/1992","Gerhard Berger","McLaren-Honda","69","1:37'08.299"
"France","05/07/1992","Nigel Mansell","Williams-Renault","69","1:38'08.459"
"Great Britain","12/07/1992","Nigel Mansell","Williams-Renault","59","1:25'42.991"
"Germany","26/07/1992","Nigel Mansell","Williams-Renault","45","1:18'22.032"
"Hungary","16/08/1992","Ayrton Senna","McLaren-Honda","77","1:46'19.216"
"Belgium","30/08/1992","Michael Schumacher","Benetton-Ford","44","1:36'10.721"
"Italy","13/09/1992","Ayrton Senna","McLaren-Honda","53","1:18'15.349"
"Portugal","27/09/1992","Nigel Mansell","Williams-Renault","71","1:34'46.659"
"Japan","25/10/1992","Riccardo Patrese","Williams-Renault","53","1:33'09.533"
"Australia","08/11/1992","Gerhard Berger","McLaren-Honda","81","1:46'54.786"
