"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","01/03/1969","Jackie Stewart","Matra-Ford","80","1:50'39.1"
"Spain","04/05/1969","Jackie Stewart","Matra-Ford","90","2:16'54.0"
"Monaco","18/05/1969","Graham Hill","Lotus-Ford","80","1:56'59.4"
"Netherlands","21/06/1969","Jackie Stewart","Matra-Ford","90","2:06'42.08"
"France","06/07/1969","Jackie Stewart","Matra-Ford","38","1:56'47.4"
"Great Britain","19/07/1969","Jackie Stewart","Matra-Ford","84","1:55'55.6"
"Germany","03/08/1969","Jacky Ickx","Brabham-Ford","14","1:49'55.4"
"Italy","07/09/1969","Jackie Stewart","Matra-Ford","68","1:39'11.26"
"Canada","20/09/1969","Jacky Ickx","Brabham-Ford","90","1:59'25.7"
"United States","05/10/1969","Jochen Rindt","Lotus-Ford","108","1:57'56.84"
"Mexico","19/10/1969","Denny Hulme","McLaren-Ford","65","1:54'08.80"
