"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","26/03/1995","Michael Schumacher","Benetton-Renault","71","1:38'34.154"
"Argentina","09/04/1995","Damon Hill","Williams-Renault","72","1:53'14.532"
"San Marino","30/04/1995","Damon Hill","Williams-Renault","63","1:41'42.522"
"Spain","14/05/1995","Michael Schumacher","Benetton-Renault","65","1:34'20.507"
"Monaco","28/05/1995","Michael Schumacher","Benetton-Renault","78","1:53'11.258"
"Canada","11/06/1995","Jean Alesi","Ferrari","68","1:44'54.171"
"France","02/07/1995","Michael Schumacher","Benetton-Renault","72","1:38'28.429"
"Great Britain","16/07/1995","Johnny Herbert","Benetton-Renault","61","1:35'35.093"
"Germany","30/07/1995","Michael Schumacher","Benetton-Renault","45","1:22'56.043"
"Hungary","13/08/1995","Damon Hill","Williams-Renault","77","1:46'25.721"
"Belgium","27/08/1995","Michael Schumacher","Benetton-Renault","44","1:36'47.375"
"Italy","10/09/1995","Johnny Herbert","Benetton-Renault","53","1:18'27.916"
"Portugal","24/09/1995","David Coulthard","Williams-Renault","71","1:49'52.145"
"Europe","01/10/1995","Michael Schumacher","Benetton-Renault","67","1:39'59.044"
"Pacific","22/10/1995","Michael Schumacher","Benetton-Renault","83","1:48'49.972"
"Japan","29/10/1995","Michael Schumacher","Benetton-Renault","53","1:36'52.930"
"Australia","12/11/1995","Damon Hill","Williams-Renault","81","1:49'15.946"
