"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","16/03/2008","Lewis Hamilton","McLaren-Mercedes","58","1:34:50.616"
"Malaysia","23/03/2008","Kimi Räikkönen","Ferrari","56","1:31:18.555"
"Bahrain","06/04/2008","Felipe Massa","Ferrari","57","1:31:06.970"
"Spain","27/04/2008","Kimi Räikkönen","Ferrari","66","1:38:19.051"
"Turkey","11/05/2008","Felipe Massa","Ferrari","58","1:26:49.451"
"Monaco","25/05/2008","Lewis Hamilton","McLaren-Mercedes","76","2:00:42.742"
"Canada","08/06/2008","Robert Kubica","BMW Sauber","70","1:36:24.447"
"France","22/06/2008","Felipe Massa","Ferrari","70","1:31:50.245"
"Great Britain","06/07/2008","Lewis Hamilton","McLaren-Mercedes","60","1:39:09.440"
"Germany","20/07/2008","Lewis Hamilton","McLaren-Mercedes","67","1:31:20.874"
"Hungary","03/08/2008","Heikki Kovalainen","McLaren-Mercedes","70","1:37:27.067"
"Europe","24/08/2008","Felipe Massa","Ferrari","57","1:35:32.339"
"Belgium","07/09/2008","Felipe Massa","Ferrari","44","1:22:59.394"
"Italy","14/09/2008","Sebastian Vettel","STR-Ferrari","53","1:26:47.494"
"Singapore","28/09/2008","Fernando Alonso","Renault","61","1:57:16.304"
"Japan","12/10/2008","Fernando Alonso","Renault","67","1:30:21.892"
"China","19/10/2008","Lewis Hamilton","McLaren-Mercedes","56","1:31:57.403"
"Brazil","02/11/2008","Felipe Massa","Ferrari","71","1:34:11.435"
