"Pos","Driver","Nationality","Team","Points"
"1","John Surtees","British","Ferrari","40"
"2","Graham Hill","British","BRM","39"
"3","Jim Clark","British","Lotus-Climax","32"
"4","Lorenzo Bandini","Italian","Ferrari","23"
"5","Richie Ginther","American","BRM","23"
"6","Dan Gurney","American","Brabham-Climax","19"
"7","Bruce McLaren","New Zealander","Cooper-Climax","13"
"8","Jack Brabham","Australian","Brabham-Climax","11"
"9","Peter  Arundell","British","Lotus-Climax","11"
"10","Jo Siffert","Swiss","Brabham-Climax","7"
"11","Bob Anderson","British","Brabham-Climax","5"
"12","Mike Spence","British","Lotus-Climax","4"
"13","Tony Maggs","South African","BRM","4"
"14","Innes Ireland","British","BRP-BRM","4"
"15","Jo Bonnier","Swedish","Brabham-Climax","3"
"16","Chris Amon","New Zealander","Lotus-Climax","2"
"17","Maurice  Trintignant","French","BRM","2"
"18","Walt   Hansgen","American","Lotus-Climax","2"
"19","Phil Hill","American","Cooper-Climax","1"
"20","Trevor  Taylor","British","BRP-BRM","1"
"21","Mike Hailwood","British","Lotus-Climax","1"
"22","Pedro Rodriguez","Mexican","Ferrari","1"
"23","Giancarlo Baghetti","Italian","BRM","0"
"24","Ludovico Scarfiotti","Italian","Ferrari","0"
"25","Gerhard Mitter","German","Lotus-Climax","0"
"26","Moises Solana","Mexican","Lotus-Climax","0"
"27","Peter   Revson","American","Lotus-Climax","0"
"28","Hap  Sharp","American","Brabham-Climax","0"
"29","Ronnie Bucknum","American","Honda","0"
"30","John  Taylor","British","Cooper-Climax","0"
"31","Jochen Rindt","Austrian","Brabham-Climax","0"
"32","Andre Pilette","Belgian","Scirocco -Climax","0"
"33","Mario  de Araujo Cabral","Portuguese","Derrington-Francis-A.T.S","0"
"34","Carel Godin de Beaufort","Dutch","Porsche","0"
"35","Ian Raby","British","Brabham-Climax","0"
"36","Edgar Barth","Argentinean","Cooper-Climax","0"
"37","Bernard  Collomb","French","Lotus-Climax","0"
"38","Giacomo Russo","Italian","Brabham-Climax","0"
"39","John Love","Rhodesian","Cooper-Climax","0"
"40","Frank Gardner","Australian","Brabham-Climax","0"
