"Pos","Driver","Nationality","Team","Points"
"1","Juan Manuel Fangio","Argentinean","Maserati","40"
"2","Stirling Moss","British","Vanwall","25"
"3","Luigi Musso","Italian","Ferrari","16"
"4","Mike Hawthorn","British","Ferrari","13"
"5","Tony Brooks","British","Vanwall","11"
"6","Masten Gregory","American","Maserati","10"
"7","Harry Schell","American","Maserati","10"
"8","Sam Hanks","American","Epperly- Offenhauser","8"
"9","Peter Collins","British","Ferrari","8"
"10","Jim Rathmann","American","Epperly- Offenhauser","7"
"11","Jean Behra","French","Maserati","6"
"12","Stuart  Lewis-Evans","British","Vanwall","5"
"13","Maurice  Trintignant","French","Ferrari","5"
"14","Wolfgang von Trips","German","Ferrari","4"
"15","Carlos Menditeguy","Argentinean","Maserati","4"
"16","Jimmy Bryan","American","Kuzma-Offenhauser","4"
"17","Paul Russo","American","Kurtis Kraft-Offenhauser","3"
"18","Andy Linden","American","Kurtis Kraft-Offenhauser","2"
"19","Roy Salvadori","British","Cooper-Climax","2"
"20","Giorgio  Scarlatti","Italian","Maserati","1"
"21","Alfonso de Portago","Spanish","Ferrari","1"
"22","Jose Froilan  Gonzalez","Argentinean","Ferrari","1"
"23","Jack Brabham","Australian","Cooper-Climax","0"
"24","Bob  Gerard","British","Cooper-Climax","0"
"25","Johnny  Boyd","American","Kurtis Kraft-Offenhauser","0"
"26","Jo Bonnier","Swedish","Maserati","0"
"27","Mike  MacDowel","British","Cooper-Climax","0"
"28","Marshall  Teague","American","Kurtis Kraft-Offenhauser","0"
"29","Ivor  Bueb","British","Maserati","0"
"30","Pat  O'Connor","American","Kurtis Kraft-Offenhauser","0"
"31","Paco  Godia","Spanish","Maserati","0"
"32","Alessandro de Tomaso","Argentinean","Ferrari","0"
"33","Bob  Veith","American","Phillips-Offenhauser","0"
"34","Luigi Piotti","Italian","Maserati","0"
"35","Horace  Gould","British","Maserati","0"
"36","Gene Hartley","American","Lesovsky-Offenhauser","0"
"37","Bruce  Halford","British","Maserati","0"
"38","Andre  Simon","French","Maserati","0"
"39","Jack  Turner","American","Kurtis Kraft-Offenhauser","0"
"40","Johnny Thomson","American","Kuzma-Offenhauser","0"
"41","Bob  Christie","American","Kurtis Kraft-Offenhauser","0"
"42","Chuck  Weyant","American","Kuzma-Offenhauser","0"
"43","Tony  Bettenhausen","American","Kurtis Kraft-Offenhauser","0"
"44","Johnnie  Parsons","American","Kurtis Kraft-Offenhauser","0"
"45","Don  Freeland","American","Kurtis Kraft-Offenhauser","0"
"46","Ron Flockhart","British","BRM","0"
"47","Eugenio Castellotti","Italian","Ferrari","0"
"48","Herbert  MacKay-Fraser","American","BRM","0"
"49","Hans  Herrmann","German","Maserati","0"
"50","Jack  Fairman","British","BRM","0"
"51","Les  Leston","American","BRM","0"
"52","Jimmy Reece","American","Kurtis Kraft-Offenhauser","0"
"53","Don  Edmunds","American","Kurtis Kraft-Offenhauser","0"
"54","Johnnie  Tolan","American","Kurtis Kraft-Offenhauser","0"
"55","Al  Herman","American","Dunn-Offenhauser","0"
"56","Fred Agabashian","American","Kurtis Kraft-Offenhauser","0"
"57","Eddie  Sachs","American","Kuzma-Offenhauser","0"
"58","Mike  Magill","American","Kurtis Kraft-Offenhauser","0"
"59","Eddie Johnson","American","Kurtis Kraft-Offenhauser","0"
"60","Bill  Cheesbourg","American","Kurtis Kraft-Offenhauser","0"
"61","Al  Keller","American","Kurtis Kraft-Offenhauser","0"
"62","Jimmy  Daywalt","American","Kurtis Kraft-Offenhauser","0"
"63","Ed  Elisian","American","Kurtis Kraft-Offenhauser","0"
"64","Rodger Ward","American","Lesovsky-Offenhauser","0"
"65","Troy Ruttman","American","Watson-Offenhauser","0"
"66","Eddie  Russo","American","Kurtis Kraft-Offenhauser","0"
"67","Elmer  George","American","Kurtis Kraft-Offenhauser","0"
