"Pos","Team","Points"
"1","Ferrari","204"
"2","BMW","101"
"3","Renault","51"
"4","Williams-Toyota","33"
"5","Red Bull-Renault","24"
"6","Toyota","13"
"7","STR-Ferrari","8"
"8","Honda","6"
"9","Super Aguri-Honda","4"
"10","Spyker-Ferrari","1"
"-","McLaren-Mercedes","0"
