"Pos","Team","Points"
"1","Lotus-Ford","92"
"2","Tyrrell-Ford","82"
"3","McLaren-Ford","58"
"4","Brabham-Ford","22"
"5","March-Ford","14"
"6","Ferrari","12"
"7","BRM","12"
"8","Shadow-Ford","9"
"9","Surtees-Ford","7"
"10","Iso Marlboro-Ford","2"
"11","Tecno","1"
"12","Ensign-Ford","0"
