"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","03/04/1988","Alain Prost","McLaren-Honda","60","1:36'06.857"
"San Marino","01/05/1988","Ayrton Senna","McLaren-Honda","60","1:32'41.264"
"Monaco","15/05/1988","Alain Prost","McLaren-Honda","78","1:57'17.077"
"Mexico","29/05/1988","Alain Prost","McLaren-Honda","67","1:30'15.737"
"Canada","12/06/1988","Ayrton Senna","McLaren-Honda","69","1:39'46.618"
"United States","19/06/1988","Ayrton Senna","McLaren-Honda","63","1:54'56.035"
"France","03/07/1988","Alain Prost","McLaren-Honda","80","1:37'37.328"
"Great Britain","10/07/1988","Ayrton Senna","McLaren-Honda","65","1:33'16.367"
"Germany","24/07/1988","Ayrton Senna","McLaren-Honda","44","1:32'54.188"
"Hungary","07/08/1988","Ayrton Senna","McLaren-Honda","76","1:57'47.081"
"Belgium","28/08/1988","Ayrton Senna","McLaren-Honda","43","1:28'00.549"
"Italy","11/09/1988","Gerhard Berger","Ferrari","51","1:17'39.744"
"Portugal","25/09/1988","Alain Prost","McLaren-Honda","70","1:37'40.958"
"Spain","02/10/1988","Alain Prost","McLaren-Honda","72","1:48'43.851"
"Japan","30/10/1988","Ayrton Senna","McLaren-Honda","51","1:33'26.173"
"Australia","13/11/1988","Alain Prost","McLaren-Honda","82","1:53'14.676"
