"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Monaco","26/05/1963","Graham Hill","BRM","100","2:41'49.7"
"Belgium","09/06/1963","Jim Clark","Lotus-Climax","32","2:27'47.6"
"Netherlands","23/06/1963","Jim Clark","Lotus-Climax","80","2:08'13.7"
"France","30/06/1963","Jim Clark","Lotus-Climax","53","2:10'54.3"
"Great Britain","20/07/1963","Jim Clark","Lotus-Climax","82","2:14'09.6"
"Germany","04/08/1963","John Surtees","Ferrari","15","2:13'06.8"
"Italy","08/09/1963","Jim Clark","Lotus-Climax","86","2:24'19.6"
"United States","06/10/1963","Graham Hill","BRM","110","2:19'22.1"
"Mexico","27/10/1963","Jim Clark","Lotus-Climax","65","2:09'52.1"
"South Africa","28/12/1963","Jim Clark","Lotus-Climax","85","2:10'36.9"
