"Pos","Driver","Nationality","Team","Points"
"1","Jack Brabham","Australian","Brabham-Repco","42"
"2","John Surtees","British","Cooper-Maserati","28"
"3","Jochen Rindt","Austrian","Cooper-Maserati","22"
"4","Denny Hulme","New Zealander","Brabham-Repco","18"
"5","Graham Hill","British","BRM","17"
"6","Jim Clark","British","Lotus-Climax","16"
"7","Jackie Stewart","British","BRM","14"
"8","Mike  Parkes","BRITISH","Ferrari","12"
"9","Lorenzo Bandini","Italian","Ferrari","12"
"10","Ludovico Scarfiotti","Italian","Ferrari","9"
"11","Richie Ginther","American","Honda","5"
"12","Dan Gurney","American","Eagle-Climax","4"
"13","Mike Spence","British","Lotus-Climax","4"
"14","Bob Bondurant","American","Eagle-Climax","3"
"15","Jo Siffert","Swiss","Cooper-Maserati","3"
"16","Bruce McLaren","New Zealander","McLaren-Ford","3"
"17","Peter  Arundell","British","Lotus-Climax","1"
"18","Bob Anderson","British","Brabham-Repco","1"
"19","Jo Bonnier","Swedish","Cooper-Maserati","1"
"20","John  Taylor","British","Brabham-Repco","1"
"21","Chris   Irwin","British","Brabham-Repco","0"
"22","Ronnie Bucknum","American","Honda","0"
"23","Chris Amon","New Zealander","Brabham-Repco","0"
"24","Guy  Ligier","French","Cooper-Maserati","0"
"25","Giacomo Russo","Italian","Lotus-Climax","0"
"26","Chris  Lawrence","British","Cooper-Maserati","0"
"27","Innes Ireland","British","BRM","0"
"28","Pedro Rodriguez","Mexican","Lotus-Climax","0"
"29","Giancarlo Baghetti","Italian","Ferrari","0"
"30","Moises Solana","Mexican","Cooper-Maserati","0"
"31","Trevor  Taylor","British","Shannon-Climax","0"
"32","Phil Hill","American","Eagle-Climax","0"
