"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","25/01/1976","Niki Lauda","Ferrari","40","1:45'16.78"
"South Africa","06/03/1976","Niki Lauda","Ferrari","78","1:42'18.4"
"USA West","28/03/1976","Clay Regazzoni","Ferrari","80","1:53'18.471"
"Spain","02/05/1976","James Hunt","McLaren-Ford","75","1:42'20.43"
"Belgium","16/05/1976","Niki Lauda","Ferrari","70","1:42'53.23"
"Monaco","30/05/1976","Niki Lauda","Ferrari","78","1:59'51.47"
"Sweden","13/06/1976","Jody Scheckter","Tyrrell-Ford","72","1:46'53.729"
"France","04/07/1976","James Hunt","McLaren-Ford","54","1:40'58.60"
"Great Britain","18/07/1976","Niki Lauda","Ferrari","76","1:44'19.66"
"Germany","01/08/1976","James Hunt","McLaren-Ford","14","1:41'42.7"
"Austria","15/08/1976","John Watson","Penske-Ford","54","1:30'07.86"
"Netherlands","29/08/1976","James Hunt","McLaren-Ford","75","1:44'52.09"
"Italy","12/09/1976","Ronnie Peterson","March-Ford","52","1:30'35.6"
"Canada","03/10/1976","James Hunt","McLaren-Ford","80","1:40'09.626"
"USA East","10/10/1976","James Hunt","McLaren-Ford","59","1:42'40.741"
"Japan","24/10/1976","Mario Andretti","Lotus-Ford","73","1:43'58.86"
