"Pos","Driver","Nationality","Team","Points"
"1","Jack Brabham","Australian","Cooper-Maserati","43"
"2","Bruce McLaren","New Zealander","Cooper-Maserati","34"
"3","Stirling Moss","British","Lotus-Climax","19"
"4","Innes Ireland","British","Lotus-Climax","18"
"5","Phil Hill","American","Cooper-Maserati","16"
"6","Olivier  Gendebien","Belgian","Cooper-Maserati","10"
"7","Wolfgang von Trips","German","Cooper-Maserati","10"
"8","Jim Rathmann","American","Watson-Offenhauser","8"
"9","Richie Ginther","American","Ferrari","8"
"10","Jim Clark","British","Lotus-Climax","8"
"11","Tony Brooks","British","Cooper-Maserati","7"
"12","Cliff Allison","British","Ferrari","6"
"13","Rodger Ward","American","Watson-Offenhauser","6"
"14","John Surtees","British","Lotus-Climax","6"
"15","Graham Hill","British","BRM","4"
"16","Maurice  Trintignant","French","Cooper-Maserati","4"
"17","Paul Goldsmith","American","Epperly-Offenhauser","4"
"18","Willy Mairesse","Belgian","Ferrari","4"
"19","Jo Bonnier","Swedish","BRM","4"
"20","Henry Taylor","British","Cooper-Maserati","3"
"21","Carlos Menditeguy","Argentinean","Cooper-Maserati","3"
"22","Don  Branson","American","Phillips-Offenhauser","3"
"23","Giulio Cabianca","Italian","Cooper-Maserati","3"
"24","Johnny Thomson","American","Lesovsky-Offenhauser","2"
"25","Eddie Johnson","American","Trevis-Offenhauser","1"
"26","Lucien Bianchi","Belgian","Cooper-Maserati","1"
"27","Ron Flockhart","British","Cooper-Maserati","1"
"28","Hans  Herrmann","German","Porsche","1"
"29","Edgar Barth","Argentinean","Porsche","0"
"30","Lloyd  Ruby","American","Watson-Offenhauser","0"
"31","Roy Salvadori","British","Cooper-Maserati","0"
"32","Bruce  Halford","British","Cooper-Maserati","0"
"33","Carel Godin de Beaufort","Dutch","Cooper-Maserati","0"
"34","Bob  Veith","American","Meskowski-Offenhauser","0"
"35","Piero  Drogo","Italian","Cooper-Maserati","0"
"36","Masten Gregory","American","Cooper-Maserati","0"
"37","Wolfgang Seidel","German","Cooper-Maserati","0"
"38","Bud  Tingelstad","American","Trevis-Offenhauser","0"
"39","Alberto Rodriguez  Larreta","Argentinean","Lotus-Climax","0"
"40","Dan Gurney","American","BRM","0"
"41","Chuck  Daigh","American","Scarab","0"
"42","Ian Burgess","British","Cooper-Maserati","0"
"43","Bob  Christie","American","Kurtis Kraft-Offenhauser","0"
"44","Fred  Gamble","American","Behra-Porsche-Porsche","0"
"45","Jose Froilan  Gonzalez","Argentinean","Ferrari","0"
"46","Red  Amick","American","Epperly-Offenhauser","0"
"47","Roberto  Bonomi","Argentinean","Cooper-Maserati","0"
"48","David  Piper","British","Lotus-Climax","0"
"49","Duane Carter","American","Kuzma-Offenhauser","0"
"50","Gino  Munaron","Italian","Cooper-Maserati","0"
"51","Brian  Naylor","British","JBW-Maserati","0"
"52","Bill Homeier","American","Kuzma-Offenhauser","0"
"53","Nasif  Estefano","Argentinean","Maserati","0"
"54","Gene Hartley","American","Kurtis Kraft-Offenhauser","0"
"55","Chuck  Stevenson","American","Watson-Offenhauser","0"
"56","Bobby  Grim","American","Meskowski-Offenhauser","0"
"57","Alan  Stacey","British","Lotus-Climax","0"
"58","Mario  de Araujo Cabral","Portuguese","Cooper-Maserati","0"
"59","Chris  Bristow","British","Cooper-Maserati","0"
"60","Alfonso  Thiele","American","Cooper-Maserati","0"
"61","Giorgio  Scarlatti","Italian","Cooper-Maserati","0"
"62","Vic  Wilson","British","Cooper-Maserati","0"
"63","Harry Schell","American","Cooper-Maserati","0"
"64","Arthur  Owen","British","Cooper-Maserati","0"
"65","Lance  Reventlow","American","Scarab","0"
"66","Shorty  Templeman","American","Kurtis Kraft-Offenhauser","0"
"67","Jim  Hurtubise","American","Christensen-Offenhauser","0"
"68","Jimmy Bryan","American","Epperly-Offenhauser","0"
"69","Mike  Taylor","British","Lotus-Climax","0"
"70","Ettore  Chimeri","Venezuelan","Maserati","0"
"71","Troy Ruttman","American","Watson-Offenhauser","0"
"72","Antonio  Creus","Spanish","Maserati","0"
"73","Eddie  Sachs","American","Ewing-Offenhauser","0"
"74","Don  Freeland","American","Kurtis Kraft-Offenhauser","0"
"75","Tony  Bettenhausen","American","Watson-Offenhauser","0"
"76","Jack  Fairman","British","Cooper-Maserati","0"
"77","Keith  Greene","British","Cooper-Maserati","0"
"78","Wayne  Weiler","American","Epperly-Offenhauser","0"
"79","A J  Foyt","American","Kurtis Kraft-Offenhauser","0"
"80","Eddie  Russo","American","Kurtis Kraft-Offenhauser","0"
"81","Johnny  Boyd","American","Epperly-Offenhauser","0"
"82","Gene Force","American","Kurtis Kraft-Offenhauser","0"
"83","Jim  McWithey","American","Epperly-Offenhauser","0"
"84","Len  Sutton","American","Watson-Offenhauser","0"
"85","Al  Herman","American","Ewing-Offenhauser","0"
"86","Dempsey  Wilson","American","Kurtis Kraft-Offenhauser","0"
"87","Dick Rathmann","American","Watson-Offenhauser","0"
