"Pos","Team","Points"
"1","Ferrari","128"
"2","McLaren-Mercedes","124"
"3","Jordan-Mugen-Honda","61"
"4","Stewart-Ford","36"
"5","Williams-Supertec","35"
"6","Benetton-Playlife","16"
"7","Prost-Peugeot","9"
"8","Sauber-Petronas","5"
"9","Arrows","1"
"10","Minardi-Ford","1"
"11","BAR-Supertec","0"
