"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Monaco","10/05/1964","Graham Hill","BRM","100","2:41'19.5"
"Netherlands","24/05/1964","Jim Clark","Lotus-Climax","80","2:07'35.4"
"Belgium","14/06/1964","Jim Clark","Lotus-Climax","32","2:06'40.5"
"France","28/06/1964","Dan Gurney","Brabham-Climax","57","2:07'49.1"
"Great Britain","11/07/1964","Jim Clark","Lotus-Climax","80","2:15'07.0"
"Germany","02/08/1964","John Surtees","Ferrari","15","2:12'04.8"
"Austria","23/08/1964","Lorenzo Bandini","Ferrari","105","2:06'18.23"
"Italy","06/09/1964","John Surtees","Ferrari","78","2:10'51.8"
"United States","04/10/1964","Graham Hill","BRM","110","2:16'38.0"
"Mexico","25/10/1964","Dan Gurney","Brabham-Climax","65","2:09'50.32"
