"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","06/03/1971","Mario Andretti","Ferrari","79","1:47'35.5"
"Spain","18/04/1971","Jackie Stewart","Tyrrell-Ford","75","1:49'03.4"
"Monaco","23/05/1971","Jackie Stewart","Tyrrell-Ford","80","1:52'21.3"
"Netherlands","20/06/1971","Jacky Ickx","Ferrari","70","1:56'20.09"
"France","04/07/1971","Jackie Stewart","Tyrrell-Ford","55","1:46'41.68"
"Great Britain","17/07/1971","Jackie Stewart","Tyrrell-Ford","68","1:31'31.5"
"Germany","01/08/1971","Jackie Stewart","Tyrrell-Ford","12","1:29'15.7"
"Austria","15/08/1971","Jo Siffert","BRM","54","1:30.23.91"
"Italy","05/09/1971","Peter  Gethin","BRM","55","1:18'12.60"
"Canada","19/09/1971","Jackie Stewart","Tyrrell-Ford","64","1:55'12.9"
"United States","03/10/1971","Francois  Cevert","Tyrrell-Ford","59","1:43'51.991"
