"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","12/01/1975","Emerson Fittipaldi","McLaren-Ford","53","1:39'26.29"
"Brazil","26/01/1975","Carlos Pace","Brabham-Ford","40","1:44'41.17"
"South Africa","01/03/1975","Jody Scheckter","Tyrrell-Ford","78","1:43'16.90"
"Spain","27/04/1975","Jochen Mass","McLaren-Ford","29","42'53.7"
"Monaco","11/05/1975","Niki Lauda","Ferrari","75","2:01'21.31"
"Belgium","25/05/1975","Niki Lauda","Ferrari","70","1:43'53.98"
"Sweden","08/06/1975","Niki Lauda","Ferrari","80","1:59'18.319"
"Netherlands","22/06/1975","James Hunt","Hesketh-Ford","75","1:46'57.40"
"France","06/07/1975","Niki Lauda","Ferrari","54","1:40'18.84"
"Great Britain","19/07/1975","Emerson Fittipaldi","McLaren-Ford","56","1:22'05.0"
"Germany","03/08/1975","Carlos Reutemann","Brabham-Ford","14","1:41'14.1"
"Austria","17/08/1975","Vittorio Brambilla","March-Ford","29","57'56.69"
"Italy","07/09/1975","Clay Regazzoni","Ferrari","52","1:22'42.6"
"United States","05/10/1975","Niki Lauda","Ferrari","59","1:42'58.175"
