"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","21/01/1979","Jacques Laffite","Ligier-Ford","53","1:36'03.21"
"Brazil","04/02/1979","Jacques Laffite","Ligier-Ford","40","1:40'09.64"
"South Africa","03/03/1979","Gilles Villeneuve","Ferrari","78","1:41'49.96"
"USA West","08/04/1979","Gilles Villeneuve","Ferrari","80","1:50'25.40"
"Spain","29/04/1979","Patrick Depailler","Ligier-Ford","75","1:39'11.84"
"Belgium","13/05/1979","Jody Scheckter","Ferrari","70","1:39'59.53"
"Monaco","27/05/1979","Jody Scheckter","Ferrari","76","1:55'22.48"
"France","01/07/1979","Jean Pierre Jabouille","Renault","80","1:35'20.42"
"Great Britain","14/07/1979","Clay Regazzoni","Williams-Ford","68","1:26'11.17"
"Germany","29/07/1979","Alan  Jones","Williams-Ford","45","1:24'48.83"
"Austria","12/08/1979","Alan  Jones","Williams-Ford","54","1:27'38.01"
"Netherlands","26/08/1979","Alan  Jones","Williams-Ford","75","1:41'19.775"
"Italy","09/09/1979","Jody Scheckter","Ferrari","50","1:22'00.22"
"Canada","30/09/1979","Alan  Jones","Williams-Ford","72","1:52'06.892"
"USA East","07/10/1979","Gilles Villeneuve","Ferrari","59","1:52'17.734"
