"Pos","Driver","Nationality","Team","Points"
"1","Alberto Ascari","Italian","Ferrari","36"
"2","Nino Farina","Italian","Ferrari","24"
"3","Piero  Taruffi","Italian","Ferrari","22"
"4","Rudi  Fischer","Swiss","Ferrari","10"
"5","Mike Hawthorn","British","Cooper-Bristol","10"
"6","Robert  Manzon","French","Gordini","9"
"7","Troy Ruttman","American","Kuzma-Offenhauser","8"
"8","Luigi  Villoresi","Italian","Ferrari","8"
"9","Jose Froilan  Gonzalez","Argentinean","Maserati","6.5"
"10","Jim Rathmann","American","Kurtis Kraft-Novi","6"
"11","Jean Behra","French","Gordini","6"
"12","Sam Hanks","American","Kurtis Kraft-Novi","4"
"13","Ken  Wharton","British","Cooper-Bristol","3"
"14","Dennis Poore","British","Connaught-Francis","3"
"15","Duane Carter","American","Lesovsky-Offenhauser","3"
"16","Alan Brown","British","Cooper-Bristol","2"
"17","Maurice  Trintignant","French","Gordini","2"
"18","Art Cross","American","Kurtis Kraft-Novi","2"
"19","Paul Frere","Belgian","Simca-Gordini-Gordini","2"
"20","Eric Thompson","British","Connaught-Francis","2"
"21","Felice  Bonetto","Italian","Maserati","2"
"22","Bill  Vukovich","American","Kurtis Kraft-Novi","1"
"23","Roger Laurent","Belgian","Ferrari","0"
"24","Toulo de Graffenried","Swiss","Maserati","0"
"25","Andre  Simon","French","Ferrari","0"
"26","Peter Collins","British","HWM-Alta","0"
"27","Jimmy Bryan","American","Kurtis Kraft-Novi","0"
"28","Charles de Tornaco","Belgian","Ferrari","0"
"29","Duncan  Hamilton","British","HWM-Alta","0"
"30","Peter Hirt","Swiss","Ferrari","0"
"31","Reg  Parnell","British","Cooper-Bristol","0"
"32","Jimmy Reece","American","Kurtis Kraft-Novi","0"
"33","Fritz Riess","German","Veritas","0"
"34","Lance Macklin","British","HWM-Alta","0"
"35","Eric  Brandon","British","Cooper-Bristol","0"
"36","Chico Landi","Brazilian","Maserati","0"
"37","Johnny Claes","Belgian","Simca-Gordini-Gordini","0"
"38","Toni Ulmen","German","Veritas","0"
"39","George Connor","American","Kurtis Kraft-Novi","0"
"40","Philippe  Etancelin","French","Maserati","0"
"41","Roy Salvadori","British","Ferrari","0"
