"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","01/01/1968","Jim Clark","Lotus-Ford","80","1:53'56.6"
"Spain","12/05/1968","Graham Hill","Lotus-Ford","90","2:15'2.1"
"Monaco","26/05/1968","Graham Hill","Lotus-Ford","80","2:00'32.3"
"Belgium","09/06/1968","Bruce McLaren","McLaren-Ford","28","1:40'02.1"
"Netherlands","23/06/1968","Jackie Stewart","Matra-Ford","90","2:46'11.26"
"France","07/07/1968","Jacky Ickx","Ferrari","60","2:25'40.9"
"Great Britain","20/07/1968","Jo Siffert","Lotus-Ford","80","2:01'20.3"
"Germany","04/08/1968","Jackie Stewart","Matra-Ford","14","2:19'03.2"
"Italy","08/09/1968","Denny Hulme","McLaren-Ford","68","1:40'14.8"
"Canada","22/09/1968","Denny Hulme","McLaren-Ford","90","2:27'11.2"
"United States","06/10/1968","Jackie Stewart","Matra-Ford","108","1:59'20.29"
"Mexico","03/11/1968","Graham Hill","Lotus-Ford","65","1:56'43.95"
