"Pos","Team","Points"
"1","McLaren-TAG","90"
"2","Ferrari","82"
"3","Williams-Honda","71"
"4","Lotus-Renault","71"
"5","Brabham-BMW","26"
"6","Ligier-Renault","23"
"7","Renault","16"
"8","Arrows-BMW","14"
"9","Tyrrell-Ford","4"
"10","Tyrrell-Renault","3"
"11","Osella-Alfa Romeo","0"
"12","Minardi-Motori Moderni","0"
"13","Alfa Romeo","0"
"14","RAM-Hart","0"
"15","Zakspeed","0"
"16","Toleman-Hart","0"
"17","Minardi-Ford","0"
"18","Spirit-Hart","0"
"19","Lola-Hart","0"
