"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","29/03/2009","Jenson Button","Brawn-Mercedes","58","1:34:15.784"
"Malaysia","05/04/2009","Jenson Button","Brawn-Mercedes","31","55:30.622"
"China","19/04/2009","Sebastian Vettel","RBR-Renault","56","1:57:43.485"
"Bahrain","26/04/2009","Jenson Button","Brawn-Mercedes","57","1:31:48.182"
"Spain","10/05/2009","Jenson Button","Brawn-Mercedes","66","1:37:19.202"
"Monaco","24/05/2009","Jenson Button","Brawn-Mercedes","78","1:40:44.282"
"Turkey","07/06/2009","Jenson Button","Brawn-Mercedes","58","1:26:24.848"
"Great Britain","21/06/2009","Sebastian Vettel","RBR-Renault","60","1:22:49.328"
"Germany","12/07/2009","Mark Webber","RBR-Renault","60","1:36:43.310"
"Hungary","26/07/2009","Lewis Hamilton","McLaren-Mercedes","70","1:38:23.876"
"Europe","23/08/2009","Rubens Barrichello","Brawn-Mercedes","57","1:35:51.289"
"Belgium","30/08/2009","Kimi Räikkönen","Ferrari","44","1:23:50.995"
"Italy","13/09/2009","Rubens Barrichello","Brawn-Mercedes","53","1:16:21.706"
"Singapore","27/09/2009","Lewis Hamilton","McLaren-Mercedes","61","1:56:06.337"
"Japan","04/10/2009","Sebastian Vettel","RBR-Renault","53","1:28:20.443"
"Brazil","18/10/2009","Mark Webber","RBR-Renault","71","1:32:23.081"
"Abu Dhabi","01/11/2009","Sebastian Vettel","RBR-Renault","55","1:34:03.414"
