"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"United States","10/03/1991","Ayrton Senna","McLaren-Honda","81","2:00'47.828"
"Brazil","24/03/1991","Ayrton Senna","McLaren-Honda","71","1:38'28.128"
"San Marino","28/04/1991","Ayrton Senna","McLaren-Honda","61","1:35'16.750"
"Monaco","12/05/1991","Ayrton Senna","McLaren-Honda","78","1:53'02.334"
"Canada","02/06/1991","Nelson Piquet","Benetton-Ford","69","1:38'51.490"
"Mexico","16/06/1991","Riccardo Patrese","Williams-Renault","67","1:29'52.205"
"France","07/07/1991","Nigel Mansell","Williams-Renault","72","1:38'00.056"
"Great Britain","14/07/1991","Nigel Mansell","Williams-Renault","59","1:27'35.479"
"Germany","28/07/1991","Nigel Mansell","Williams-Renault","45","1:19'.661"
"Hungary","11/08/1991","Ayrton Senna","McLaren-Honda","77","1:49'12.796"
"Belgium","25/08/1991","Ayrton Senna","McLaren-Honda","44","1:27'17.669"
"Italy","08/09/1991","Nigel Mansell","Williams-Renault","53","1:17'54.319"
"Portugal","22/09/1991","Riccardo Patrese","Williams-Renault","71","1:35'42.304"
"Spain","29/09/1991","Nigel Mansell","Williams-Renault","65","1:38'41.541"
"Japan","20/10/1991","Gerhard Berger","McLaren-Honda","53","1:32'10.695"
"Australia","03/11/1991","Ayrton Senna","McLaren-Honda","14","24'34.899"
