"Pos","Driver","Nationality","Team","Points"
"1","Emerson Fittipaldi","Brazilian","McLaren-Ford","55"
"2","Clay Regazzoni","Swiss","Ferrari","52"
"3","Jody Scheckter","South African","Tyrrell-Ford","45"
"4","Niki Lauda","Austrian","Ferrari","38"
"5","Ronnie Peterson","Swedish","Lotus-Ford","35"
"6","Carlos Reutemann","Argentinean","Brabham-Ford","32"
"7","Denny Hulme","New Zealander","McLaren-Ford","20"
"8","James Hunt","British","Hesketh-Ford","15"
"9","Patrick Depailler","French","Tyrrell-Ford","14"
"10","Jacky Ickx","Belgian","Lotus-Ford","12"
"11","Mike Hailwood","British","McLaren-Ford","12"
"12","Carlos Pace","Brazilian","Brabham-Ford","11"
"13","Jean Pierre  Beltoise","French","BRM","10"
"14","Jean Pierre Jarier","French","Shadow-Ford","6"
"15","John Watson","British","Brabham-Ford","6"
"16","Hans Joachim Stuck","German","March-Ford","5"
"17","Arturo Merzario","Italian","Iso Marlboro-Ford","4"
"18","Graham Hill","British","Lola-Ford","1"
"19","Tom Pryce","British","Shadow-Ford","1"
"20","Vittorio Brambilla","Italian","March-Ford","1"
"21","Guy Edwards","British","Lola-Ford","0"
"22","David   Hobbs","British","McLaren-Ford","0"
"23","Jochen Mass","German","McLaren-Ford","0"
"24","Brian   Redman","British","Shadow-Ford","0"
"25","Mario Andretti","American","Parnelli-Ford","0"
"26","Howden  Ganley","New Zealander","Maki-Ford","0"
"27","Tom  Belso","Danish","Iso Marlboro-Ford","0"
"28","Rikky von  Opel","Liechtensteiner","Brabham-Ford","0"
"29","Henri Pescarolo","French","BRM","0"
"30","Chris Amon","New Zealander","BRM","0"
"31","Dieter  Quester","Austrian","Surtees-Ford","0"
"32","Tim   Schenken","Australian","Lotus-Ford","0"
"33","Helmuth  Koinigg","Austria","Surtees-Ford","0"
"34","Rolf Stommelen","Geman","Lola-Ford","0"
"35","Derek Bell","British","Surtees-Ford","0"
"36","Mark Donohue","American","Penske-Ford","0"
"37","Ian Scheckter","South African","Hesketh-Ford","0"
"38","Francois  Migault","French","BRM","0"
"39","Ian Ashley","British","Brabham-Ford","0"
"40","Gijs Van Lennep","Dutch","Iso Marlboro-Ford","0"
"41","Eddie  Keizan","South African","Tyrrell-Ford","0"
"42","Richard   Robarts","British","Iso Marlboro-Ford","0"
"43","Vern Schuppan","Australian","Ensign-Ford","0"
"44","Jacques Laffite","French","Iso Marlboro-Ford","0"
"45","Teddy Pilette","Belgian","Brabham-Ford","0"
"46","Dave Charlton","South African","McLaren-Ford","0"
"47","Mike Wilds","British","Ensign-Ford","0"
"48","Reine   Wisell","Swedish","March-Ford","0"
"49","Jose  Dolhem","French","Surtees-Ford","0"
"50","Peter   Revson","American","Shadow-Ford","0"
"51","Leo  Kinnunen","Finnish","Surtees-Ford","0"
"52","Gerard  Larrousse","French","Brabham-Ford","0"
"53","Peter  Gethin","British","Lola-Ford","0"
"54","Paddy Driver","South African","Lotus-Ford","0"
"55","Bertil  Roos","Swedish","Shadow-Ford","0"
"56","Eppie   Wietzes","Canadian","Brabham-Ford","0"
"57","Jean Pierre Jabouille","French","Surtees-Ford","0"
"58","David Purley","British","Token-Ford","0"
"59","Carlo  Facetti","Italian","Brabham-Ford","0"
"60","Lella Lombardi","Italian","Brabham-Ford","0"
"61","Larry Perkins","Australian","Amon-Ford","0"
"62","John  Nicholson","New Zealander","Lyncar-Ford","0"
