"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","02/01/1967","Pedro Rodriguez","Cooper-Maserati","80","2:05'45.9"
"Monaco","07/05/1967","Denny Hulme","Brabham-Repco","100","2:34'34.3"
"Netherlands","04/06/1967","Jim Clark","Lotus-Ford","90","2:14'45.1"
"Belgium","18/06/1967","Dan Gurney","Eagle-Weslake","28","1:40'49.4"
"France","02/07/1967","Jack Brabham","Brabham-Repco","80","2:13'21.3"
"Great Britain","15/07/1967","Jim Clark","Lotus-Ford","80","1:59'25.6"
"Germany","06/08/1967","Denny Hulme","Brabham-Repco","15","2:05'55.7"
"Canada","27/08/1967","Jack Brabham","Brabham-Repco","90","2:40'40.0"
"Italy","10/09/1967","John Surtees","Honda","68","1:43'45.0"
"United States","01/10/1967","Jim Clark","Lotus-Ford","108","2:03'13.2"
"Mexico","22/10/1967","Jim Clark","Lotus-Ford","65","1:59'28.70"
