"Pos","Driver","Nationality","Team","Points"
"1","Jim Clark","British","Lotus-Climax","54"
"2","Graham Hill","British","BRM","40"
"3","Jackie Stewart","British","BRM","33"
"4","Dan Gurney","American","Brabham-Climax","25"
"5","John Surtees","British","Ferrari","17"
"6","Lorenzo Bandini","Italian","Ferrari","13"
"7","Richie Ginther","American","Honda","11"
"8","Mike Spence","British","Lotus-Climax","10"
"9","Bruce McLaren","New Zealander","Cooper-Climax","10"
"10","Jack Brabham","Australian","Brabham-Climax","9"
"11","Denny Hulme","New Zealander","Brabham-Climax","5"
"12","Jo Siffert","Swiss","Brabham-Climax","5"
"13","Jochen Rindt","Austrian","Cooper-Climax","4"
"14","Pedro Rodriguez","Mexican","Ferrari","2"
"15","Ronnie Bucknum","American","Honda","2"
"16","Richard Attwood","British","Lotus-Climax","2"
"17","Jo Bonnier","Swedish","Brabham-Climax","0"
"18","Frank Gardner","Australian","Brabham-Climax","0"
"19","Masten Gregory","American","BRM","0"
"20","Bob Anderson","British","Brabham-Climax","0"
"21","Innes Ireland","British","Lotus-Climax","0"
"22","Paul Hawkins","Australian","Lotus-Climax","0"
"23","Bob Bondurant","American","Lotus-Climax","0"
"24","Peter de Klerk","South African","Alfa Romeo","0"
"25","Ian Raby","British","Brabham-Climax","0"
"26","Tony Maggs","South African","Lotus-Climax","0"
"27","Moises Solana","Mexican","Lotus-Climax","0"
"28","Lucien Bianchi","Belgian","BRM","0"
"29","Roberto Bussinello","Italian","BRM","0"
"30","Sam Tingle","Rhodesian","LDS-Climax","0"
"31","David Prophet","British","Brabham-Climax","0"
"32","Chris Amon","New Zealander","Lotus-Climax","0"
"33","Gerhard Mitter","German","Lotus-Climax","0"
"34","Mike Hailwood","British","Lotus-Climax","0"
"35","John Rhodes","British","Cooper-Climax","0"
"36","John Love","Rhodesian","Cooper-Climax","0"
"37","Giacomo Russo","Italian","Lotus-Climax","0"
"38","Trevor Blokdyk","South African","Cooper-Climax","0"
"39","Neville Lederle","South African","Lotus-Climax","0"
"40","Giancarlo Baghetti","Italian","Brabham-Climax","0"
"41","Alan Rollinson","British","Cooper-Climax","0"
"42","Doug Serrurier","South African","LDS-Climax","0"
"43","Giorgio Bassi","Italian","BRM","0"
"44","Brausch Niemann","South African","Lotus-Climax","0"
"45","Brian Gubby","British","Lotus-Climax","0"
"46","Ernie Pieterse","South African","Lotus-Climax","0"
"47","Clive Puzey","Rhodesian","Lotus-Climax","0"
"48","Jackie Pretorius","South African","LDS-Climax","0"
"49","Dave Charlton","South African","Lotus-Climax","0"
"50","Nino Vaccarella","Italian","Ferrari","0"
