"Pos","Team","Points"
"1","Cooper-Climax","48"
"2","Lotus-Climax","34"
"3","Ferrari","26"
"4","BRM","8"
"5","Cooper-Maserati","3"
"6","Cooper-Castellotti","3"
"7","Porsche","1"
"8","Watson-Offenhauser","0"
"9","Meskowski-Offenhauser","0"
"10","Trevis-Offenhauser","0"
"11","Behra-Porsche-Porsche","0"
"12","Kurtis Kraft-Offenhauser","0"
"13","Scarab","0"
"14","Aston Martin","0"
"15","Epperly-Offenhauser","0"
"16","Kuzma-Offenhauser","0"
"17","Maserati","0"
"18","JBW-Maserati","0"
"19","Vanwall","0"
"20","Christensen-Offenhauser","0"
"21","Ewing-Offenhauser","0"
