"Pos","Driver","Nationality","Team","Points"
"1","Emerson Fittipaldi","Brazilian","Lotus-Ford","61"
"2","Jackie Stewart","British","Tyrrell-Ford","45"
"3","Denny Hulme","New Zealander","McLaren-Ford","39"
"4","Jacky Ickx","Belgian","Ferrari","27"
"5","Peter   Revson","American","McLaren-Ford","23"
"6","Francois  Cevert","French","Tyrrell-Ford","15"
"7","Clay Regazzoni","Swiss","Ferrari","15"
"8","Mike Hailwood","British","Surtees-Ford","13"
"9","Ronnie Peterson","Swedish","March-Ford","12"
"10","Chris Amon","New Zealander","Matra","12"
"11","Jean Pierre  Beltoise","French","BRM","9"
"12","Mario Andretti","American","Ferrari","4"
"13","Howden  Ganley","New Zealander","BRM","4"
"14","Brian   Redman","British","BRM","4"
"15","Graham Hill","British","Brabham-Ford","4"
"16","Carlos Reutemann","Argentinean","Brabham-Ford","3"
"17","Andrea de Adamich","Italian","Surtees-Ford","3"
"18","Carlos Pace","Brazilian","March-Ford","3"
"19","Tim   Schenken","Australian","Surtees-Ford","2"
"20","Arturo Merzario","Italian","Ferrari","1"
"21","Peter  Gethin","British","BRM","1"
"22","Wilson Fittipaldi","Brazilian","Brabham-Ford","0"
"23","Niki Lauda","Austrian","March-Ford","0"
"24","Patrick Depailler","French","Tyrrell-Ford","0"
"25","Helmut  Marko","Austrian","BRM","0"
"26","Mike  Beuttler","British","March-Ford","0"
"27","Henri Pescarolo","French","March-Ford","0"
"28","Dave  Walker","Australian","Lotus-Ford","0"
"29","Jody Scheckter","South African","McLaren-Ford","0"
"30","Rolf Stommelen","Geman","March-Ford","0"
"31","Reine   Wisell","Swedish","Lotus-Ford","0"
"32","Sam   Posey","American","Surtees-Ford","0"
"33","Nanni  Galli","Italian","Tecno","0"
"34","Skip  Barber","American","March-Ford","0"
"35","John Love","Rhodesian","Surtees-Ford","0"
"36","John Surtees","British","Surtees-Ford","0"
"37","Jackie Oliver","British","BRM","0"
"38","Alex  Soler-Roig","Spanish","BRM","0"
"39","Francois  Migault","French","Connew- Ford","0"
"40","Dave Charlton","South African","Lotus-Ford","0"
"41","Bill   Brack","Canadian","BRM","0"
"42","Derek Bell","British","Tecno","0"
