"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Benetton-Ford","92"
"2","Damon Hill","British","Williams-Renault","91"
"3","Gerhard Berger","Austrian","Ferrari","41"
"4","Mika Hakkinen","Finnish","McLaren-Peugeot","26"
"5","Jean Alesi","French","Ferrari","24"
"6","Rubens Barrichello","Brazilian","Jordan-Hart","19"
"7","Martin Brundle","British","McLaren-Peugeot","16"
"8","David Coulthard","British","Williams-Renault","14"
"9","Nigel Mansell","British","Williams-Renault","13"
"10","Jos Verstappen","Dutch","Benetton-Ford","10"
"11","Olivier Panis","French","Ligier-Renault","9"
"12","Mark Blundell","British","Tyrrell-Yamaha","8"
"13","Heinz-Harald Frentzen","German","Sauber-Mercedes","7"
"14","Nicola Larini","Italian","Ferrari","6"
"15","Christian Fittipaldi","Brazilian","Footwork-Ford","6"
"16","Eddie Irvine","British","Jordan-Hart","6"
"17","Ukyo Katayama","Japanese","Tyrrell-Yamaha","5"
"18","Eric Bernard","French","Lotus-Mugen-Honda","4"
"19","Karl Wendlinger","Austrian","Sauber-Mercedes","4"
"20","Andrea de Cesaris","Italian","Sauber-Mercedes","4"
"21","Pierluigi Martini","Italian","Minardi-Ford","4"
"22","Gianni Morbidelli","Italian","Footwork-Ford","3"
"23","Erik Comas","French","Larrousse-Ford","2"
"24","Jyrki Jarvilehto","Finnish","Sauber-Mercedes","1"
"25","Michele Alboreto","Italian","Minardi-Ford","1"
"26","Johnny Herbert","British","Lotus-Mugen-Honda","0"
"27","Olivier Beretta","French","Larrousse-Ford","0"
"28","Pedro Lamy","Portuguese","Lotus-Mugen-Honda","0"
"29","Jean-Marc Gounon","French","Simtek-Ford","0"
"30","Alessandro Zanardi","Italian","Lotus-Mugen-Honda","0"
"31","David Brabham","Australian","Simtek-Ford","0"
"32","Mika Salo","Finnish","Lotus-Mugen-Honda","0"
"33","Franck Lagorce","French","Larrousse-Ford","0"
"34","Roland Ratzenberger","Austrian","Simtek-Ford","0"
"35","Yannick Dalmas","French","Larrousse-Ford","0"
"36","Philippe Adams","Belgian","Lotus-Mugen-Honda","0"
"37","Domenico Schiattarella","Italian","Simtek-Ford","0"
"38","Ayrton Senna","Brazilian","Williams-Renault","0"
"39","Paul Belmondo","French","Pacific-Ilmor","0"
"40","Bertrand Gachot","French","Pacific-Ilmor","0"
"41","Jean-Denis Deletraz","Swiss","Larrousse-Ford","0"
"42","Aguri Suzuki","Japanese","Jordan-Hart","0"
"43","Philippe Alliot","French","Larrousse-Ford","0"
"44","Hideki Noda","Japanese","Jordan-Hart","0"
"45","Taki Inoue","Japanese","Simtek-Ford","0"
"46","Andrea Montermini","Italian","Simtek-Ford","0"
