"Pos","Team","Points"
"1","Lotus-Climax","54"
"2","BRM","36"
"3","Brabham-Climax","28"
"4","Ferrari","26"
"5","Cooper-Climax","25"
"6","BRP-BRM","6"
"7","Porsche","5"
"8","Lotus-BRM","4"
"9","Lola-Climax","0"
"10","Stebro-Ford","0"
"11","Scirocco-BRM","0"
"12","ATS","0"
"13","LDS-Alfa Romeo","0"
"14","Cooper-Maserati","0"
"15","Lotus-Ford","0"
"16","Alfa Romeo","0"
"17","Gilby-BRM","0"
"18","De Tomaso-Ferrari","0"
"19","Lotus-Borgward","0"
