"Pos","Driver","Nationality","Team","Points"
"1","Niki Lauda","Austrian","Ferrari","64.5"
"2","Emerson Fittipaldi","Brazilian","McLaren-Ford","45"
"3","Carlos Reutemann","Argentinean","Brabham-Ford","37"
"4","James Hunt","British","Hesketh-Ford","33"
"5","Clay Regazzoni","Swiss","Ferrari","25"
"6","Carlos Pace","Brazilian","Brabham-Ford","24"
"7","Jody Scheckter","South African","Tyrrell-Ford","20"
"8","Jochen Mass","German","McLaren-Ford","20"
"9","Patrick Depailler","French","Tyrrell-Ford","12"
"10","Tom Pryce","British","Shadow-Matra","8"
"11","Vittorio Brambilla","Italian","March-Ford","6.5"
"12","Jacques Laffite","French","Williams-Ford","6"
"13","Ronnie Peterson","Swedish","Lotus-Ford","6"
"14","Mario Andretti","American","Parnelli-Ford","5"
"15","Mark Donohue","American","March-Ford","4"
"16","Jacky Ickx","Belgian","Lotus-Ford","3"
"17","Alan  Jones","Australian","Hill-Ford","2"
"18","Jean Pierre Jarier","French","Shadow-Matra","1.5"
"19","Tony Brise","British","Hill-Ford","1"
"20","Gijs Van Lennep","Dutch","Ensign-Ford","1"
"21","Lella Lombardi","Italian","Williams-Ford","0.5"
"22","Rolf Stommelen","Geman","Hill-Ford","0"
"23","John Watson","British","Penske-Ford","0"
"24","Harald Ertl","Austrian","Hesketh-Ford","0"
"25","Hans Joachim Stuck","German","March-Ford","0"
"26","Bob Evans","British","BRM","0"
"27","Wilson Fittipaldi","Brazilian","Fittipaldi-Ford","0"
"28","Graham Hill","British","Hill-Ford","0"
"29","Brett Lunger","American","Hesketh-Ford","0"
"30","Torsten   Palm","Swedish","Hesketh-Ford","0"
"31","Arturo Merzario","Italian","Fittipaldi-Ford","0"
"32","Guy   Tunmer","South African","Lotus-Ford","0"
"33","Chris Amon","New Zealander","Ensign-Ford","0"
"34","Ian Scheckter","South African","Williams-Ford","0"
"35","Jean Pierre Jabouille","French","Tyrrell-Ford","0"
"36","Jim Crawford","British","Lotus-Ford","0"
"37","Eddie  Keizan","South African","Lotus-Ford","0"
"38","Damien Magee","British","Williams-Ford","0"
"39","Renzo Zorzi","Italian","Williams-Ford","0"
"40","Dave Charlton","South African","McLaren-Ford","0"
"41","Brian Henton","British","Lotus-Ford","0"
"42","John  Nicholson","New Zealander","Lyncar-Ford","0"
"43","Dave  Morgan","British","Surtees-Ford","0"
"44","Francois  Migault","French","Williams-Ford","0"
"45","Roelof   Wunderink","Dutch","Ensign-Ford","0"
"46","Mike Wilds","British","BRM","0"
"47","Vern Schuppan","Australian","Hill-Ford","0"
"48","Michel Leclere","French","Tyrrell-Ford","0"
"49","Jo  Vonlanthen","Swiss","Williams-Ford","0"
"50","Hiroshi  Fushida","Japanese","Maki-Ford","0"
"51","Ian Ashley","British","Williams-Ford","0"
"52","Tony Trimmer","British","Maki-Ford","0"
