"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","27/03/2011","Sebastian Vettel","Red Bull Racing-Renault","58","1:29:30.259"
"Malaysia","10/04/2011","Sebastian Vettel","Red Bull Racing-Renault","56","1:37:39.832"
"China","17/04/2011","Lewis Hamilton","McLaren-Mercedes","56","1:36:58.226"
"Turkey","08/05/2011","Sebastian Vettel","Red Bull Racing-Renault","58","1:30:17.558"
"Spain","22/05/2011","Sebastian Vettel","Red Bull Racing-Renault","66","1:39:03.301"
"Monaco","29/05/2011","Sebastian Vettel","Red Bull Racing-Renault","78","2:09:38.373"
"Canada","12/06/2011","Jenson Button","McLaren-Mercedes","70","4:04:39.537"
"Europe","26/06/2011","Sebastian Vettel","Red Bull Racing-Renault","57","1:39:36.169"
"Great Britain","10/07/2011","Fernando Alonso","Ferrari","52","1:28:41.196"
"Germany","24/07/2011","Lewis Hamilton","McLaren-Mercedes","60","1:37:30.334"
"Hungary","31/07/2011","Jenson Button","McLaren-Mercedes","70","1:46:42.337"
"Belgium","28/08/2011","Sebastian Vettel","Red Bull Racing-Renault","44","1:26:44.893"
"Italy","11/09/2011","Sebastian Vettel","Red Bull Racing-Renault","53","1:20:46.172"
"Singapore","25/09/2011","Sebastian Vettel","Red Bull Racing-Renault","61","1:59:06.757"
"Japan","09/10/2011","Jenson Button","McLaren-Mercedes","53","1:30:53.427"
"Korea","16/10/2011","Sebastian Vettel","Red Bull Racing-Renault","55","1:38:01.994"
"India","30/10/2011","Sebastian Vettel","Red Bull Racing-Renault","60","1:30:35.002"
"Abu Dhabi","13/11/2011","Lewis Hamilton","McLaren-Mercedes","55","1:37:11.886"
"Brazil","27/11/2011","Mark Webber","Red Bull Racing-Renault","71","1:32:17.464"
