"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","09/01/1977","Jody Scheckter","Wolf-Ford","53","1:40'11.19"
"Brazil","23/01/1977","Carlos Reutemann","Ferrari","40","1:45'07.72"
"South Africa","05/03/1977","Niki Lauda","Ferrari","78","1:42'21.6"
"USA West","03/04/1977","Mario Andretti","Lotus-Ford","80","1:51'35.470"
"Spain","08/05/1977","Mario Andretti","Lotus-Ford","75","1:42'.52.22"
"Monaco","22/05/1977","Jody Scheckter","Wolf-Ford","76","1:57'52.77"
"Belgium","05/06/1977","Gunnar Nilsson","Lotus-Ford","70","1:55'05.71"
"Sweden","19/06/1977","Jacques Laffite","Ligier-Matra","72","1:46'55.520"
"France","03/07/1977","Mario Andretti","Lotus-Ford","80","1:39'40.13"
"Great Britain","16/07/1977","James Hunt","McLaren-Ford","68","1:31'46.06"
"Germany","31/07/1977","Niki Lauda","Ferrari","47","1:31'48.62"
"Austria","14/08/1977","Alan  Jones","Shadow-Ford","54","1:37'16.49"
"Netherlands","28/08/1977","Niki Lauda","Ferrari","75","1:41'45.93"
"Italy","11/09/1977","Mario Andretti","Lotus-Ford","52","1:27'50.30"
"USA East","02/10/1977","James Hunt","McLaren-Ford","59","1:58'23.267"
"Canada","09/10/1977","Jody Scheckter","Wolf-Ford","80","1:40'00.00"
"Japan","23/10/1977","James Hunt","McLaren-Ford","73","1:31'51.68"
