"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Ferrari","93"
"2","Kimi Räikkönen","Finnish","McLaren-Mercedes","91"
"3","Juan Pablo Montoya","Colombian","Williams-BMW","82"
"4","Rubens Barrichello","Brazilian","Ferrari","65"
"5","Ralf Schumacher","German","Williams-BMW","58"
"6","Fernando Alonso","Spanish","Renault","55"
"7","David Coulthard","British","McLaren-Mercedes","51"
"8","Jarno Trulli","Italian","Renault","33"
"9","Jenson Button","British","BAR-Honda","17"
"10","Mark Webber","Australian","Jaguar-Cosworth","17"
"11","Heinz-Harald Frentzen","German","Sauber-Petronas","13"
"12","Giancarlo Fisichella","Italian","Jordan-Ford","12"
"13","Cristiano da Matta","Brazilian","Toyota","10"
"14","Nick Heidfeld","German","Sauber-Petronas","6"
"15","Olivier Panis","French","Toyota","6"
"16","Jacques Villeneuve","Canadian","BAR-Honda","6"
"17","Marc Gene","Spanish","Williams-BMW","4"
"18","Takuma Sato","Japanese","BAR-Honda","3"
"19","Ralph Firman","British","Jordan-Ford","1"
"20","Justin Wilson","British","Jaguar-Cosworth","1"
"21","Antonio Pizzonia","Brazilian","Jaguar-Cosworth","0"
"22","Jos Verstappen","Dutch","Minardi-Cosworth","0"
"23","Nicolas Kiesa","Danish","Minardi-Cosworth","0"
