"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","07/03/1999","Eddie Irvine","Ferrari","57","1:35'01.659"
"Brazil","11/04/1999","Mika Hakkinen","McLaren-Mercedes","72","1:36'03.785"
"San Marino","02/05/1999","Michael Schumacher","Ferrari","62","1:33'44.792"
"Monaco","16/05/1999","Michael Schumacher","Ferrari","78","1:49'31.812"
"Spain","30/05/1999","Mika Hakkinen","McLaren-Mercedes","65","1:34'13.665"
"Canada","13/06/1999","Mika Hakkinen","McLaren-Mercedes","69","1:41'35.727"
"France","27/06/1999","Heinz-Harald Frentzen","Jordan-Mugen-Honda","72","1:58'24.343"
"Great Britain","11/07/1999","David Coulthard","McLaren-Mercedes","60","1:32'30.144"
"Austria","25/07/1999","Eddie Irvine","Ferrari","71","1:28'12.438"
"Germany","01/08/1999","Eddie Irvine","Ferrari","45","1:21'58.594"
"Hungary","15/08/1999","Mika Hakkinen","McLaren-Mercedes","77","1:46'23.536"
"Belgium","29/08/1999","David Coulthard","McLaren-Mercedes","44","1:25'43.057"
"Italy","12/09/1999","Heinz-Harald Frentzen","Jordan-Mugen-Honda","53","1:17'02.923"
"Europe","26/09/1999","Johnny Herbert","Stewart-Ford","66","1:41'54.314"
"Malaysia","17/10/1999","Eddie Irvine","Ferrari","56","1:36'38.494"
"Japan","31/10/1999","Mika Hakkinen","McLaren-Mercedes","53","1:31'18.785"
