"Pos","Driver","Nationality","Team","Points"
"1","Jochen Rindt","Austrian","Lotus-Ford","45"
"2","Jacky Ickx","Belgian","Ferrari","40"
"3","Clay Regazzoni","Swiss","Ferrari","33"
"4","Denny Hulme","New Zealander","McLaren-Ford","27"
"5","Jackie Stewart","British","Tyrrell-Ford","25"
"6","Jack Brabham","Australian","Brabham-Ford","25"
"7","Pedro Rodriguez","Mexican","BRM","23"
"8","Chris Amon","New Zealander","March-Ford","23"
"9","Jean Pierre  Beltoise","French","Matra","16"
"10","Emerson Fittipaldi","Brazilian","Lotus-Ford","12"
"11","Rolf Stommelen","Geman","Brabham-Ford","10"
"12","Henri Pescarolo","French","Matra","8"
"13","Graham Hill","British","Lotus-Ford","7"
"14","Bruce McLaren","New Zealander","McLaren-Ford","6"
"15","Mario Andretti","American","March-Ford","4"
"16","Reine   Wisell","Swedish","Lotus-Ford","4"
"17","Ignazio  Giunti","Italian","Ferrari","3"
"18","John Surtees","British","Surtees-Ford","3"
"19","John   Miles","British","Lotus-Ford","2"
"20","Jackie Oliver","British","BRM","2"
"21","Johnny  Servoz-Gavin","French","March-Ford","2"
"22","Francois  Cevert","French","March-Ford","1"
"23","Peter  Gethin","British","McLaren-Ford","1"
"24","Dan Gurney","American","McLaren-Ford","1"
"25","Derek Bell","British","Surtees-Ford","1"
"26","Jo Siffert","Swiss","March-Ford","0"
"27","Ronnie Peterson","Swedish","March-Ford","0"
"28","Andrea de Adamich","Italian","McLaren-Ford","0"
"29","John Love","Rhodesian","Lotus-Ford","0"
"30","George Eaton","Canadian","BRM","0"
"31","Peter de Klerk","South African","Brabham-Ford","0"
"32","Dave Charlton","South African","Lotus-Ford","0"
"33","Piers   Courage","British","De Tomaso-Ford","0"
"34","Pete  Lovely","American","Lotus-Ford","0"
"35","Tim   Schenken","Australian","De Tomaso-Ford","0"
"36","Jo Bonnier","Swedish","McLaren-Ford","0"
"37","Silvio  Moser","Swiss","Bellasi-Ford","0"
"38","Gus  Hutchison","American","Brabham-Ford","0"
"39","Alex  Soler-Roig","Spanish","Lotus-Ford","0"
"40","Brian   Redman","British","De Tomaso-Ford","0"
"41","Peter  Westbury","British","BRM","0"
"42","Hubert  Hahne","German","March-Ford","0"
"43","Nanni  Galli","Italian","McLaren-Ford","0"
