"Pos","Driver","Nationality","Team","Points"
"1","Jackie Stewart","British","Matra-Ford","63"
"2","Jacky Ickx","Belgian","Brabham-Ford","37"
"3","Bruce McLaren","New Zealander","McLaren-Ford","26"
"4","Jochen Rindt","Austrian","Lotus-Ford","22"
"5","Jean Pierre  Beltoise","French","Matra-Ford","21"
"6","Denny Hulme","New Zealander","McLaren-Ford","20"
"7","Graham Hill","British","Lotus-Ford","19"
"8","Piers   Courage","British","Brabham-Ford","16"
"9","Jo Siffert","Swiss","Lotus-Ford","15"
"10","Jack Brabham","Australian","Brabham-Ford","14"
"11","John Surtees","British","BRM","6"
"12","Chris Amon","New Zealander","Ferrari","4"
"13","Richard Attwood","British","Lotus-Ford","3"
"14","Vic  Elford","British","McLaren-Ford","3"
"15","Pedro Rodriguez","Mexican","Ferrari","3"
"16","Silvio  Moser","Swiss","Brabham-Ford","1"
"17","Jackie Oliver","British","BRM","1"
"18","Johnny  Servoz-Gavin","French","Matra-Ford","1"
"19","Pete  Lovely","American","Lotus-Ford","0"
"20","Sam Tingle","Rhodesian","Brabham-Ford","0"
"21","John   Miles","British","Lotus-Ford","0"
"22","Bill   Brack","Canadian","BRM","0"
"23","Peter de Klerk","South African","Brabham-Ford","0"
"24","George Eaton","Canadian","BRM","0"
"25","Jo Bonnier","Swedish","Lotus-Ford","0"
"26","Mario Andretti","American","Lotus-Ford","0"
"27","Al  Pease","Canadian","Eagle-Climax","0"
"28","Derek Bell","British","McLaren-Ford","0"
"29","John Love","Rhodesian","Lotus-Ford","0"
"30","John  Cordts","Canadian","Brabham-Ford","0"
"31","Basil van Rooyen","South African","McLaren-Ford","0"
