"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","16/01/1955","Juan Manuel Fangio","Mercedes","96","3:00'38.6"
"Monaco","22/05/1955","Maurice  Trintignant","Ferrari","100","2:58'09.8"
"Indianapolis 500","30/05/1955","Bob Sweikert","Kurtis Kraft-Offenhauser","200","3:53'59.53"
"Belgium","05/06/1955","Juan Manuel Fangio","Mercedes","36","2:39'29.0"
"Netherlands","19/06/1955","Juan Manuel Fangio","Mercedes","100","2: 54.23.8"
"Great Britain","16/07/1955","Stirling Moss","Mercedes","90","3:07.21.2"
"Italy","11/09/1955","Juan Manuel Fangio","Mercedes","50","2:25'04.4"
