"Pos","Team","Points"
"1","McLaren-Honda","121"
"2","Ferrari","110"
"3","Benetton-Ford","71"
"4","Williams-Renault","57"
"5","Tyrrell-Ford","16"
"6","Lola-Lamborghini","11"
"7","Leyton House-Judd","7"
"8","Lotus-Lamborghini","3"
"9","Arrows-Ford","2"
"10","Brabham-Judd","2"
"11","Ligier-Ford","0"
"12","Minardi-Ford","0"
"13","Onyx-Ford","0"
"14","AGS-Ford","0"
"15","Dallara-Ford","0"
"16","Osella-Ford","0"
"17","Euro Brun-Judd","0"
"18","Coloni-Ford","0"
"19","Coloni-Subaru","0"
"20","Life","0"
