"Pos","Driver","Nationality","Team","Points"
"1","Mika Hakkinen","Finnish","McLaren-Mercedes","76"
"2","Eddie Irvine","British","Ferrari","74"
"3","Heinz-Harald Frentzen","German","Jordan-Mugen-Honda","54"
"4","David Coulthard","British","McLaren-Mercedes","48"
"5","Michael Schumacher","German","Ferrari","44"
"6","Ralf Schumacher","German","Williams-Supertec","35"
"7","Rubens Barrichello","Brazilian","Stewart-Ford","21"
"8","Johnny Herbert","British","Stewart-Ford","15"
"9","Giancarlo Fisichella","Italian","Benetton-Playlife","13"
"10","Mika Salo","Finnish","Ferrari","10"
"11","Jarno Trulli","Italian","Prost-Peugeot","7"
"12","Damon Hill","British","Jordan-Mugen-Honda","7"
"13","Alexander Wurz","Austrian","Benetton-Playlife","3"
"14","Pedro Diniz","Brazilian","Sauber-Petronas","3"
"15","Jean Alesi","French","Sauber-Petronas","2"
"16","Olivier Panis","French","Prost-Peugeot","2"
"17","Marc Gene","Spanish","Minardi-Ford","1"
"18","Pedro de la Rosa","Spanish","Arrows","1"
"19","Alessandro Zanardi","Italian","Williams-Supertec","0"
"20","Toranosuke Takagi","Japanese","Arrows","0"
"21","Jacques Villeneuve","Canadian","BAR-Supertec","0"
"22","Ricardo Zonta","Brazillian","BAR-Supertec","0"
"23","Luca Badoer","Italian","Minardi-Ford","0"
"24","Stephane Sarrazin","French","Minardi-Ford","0"
