"Pos","Team","Points"
"1","McLaren-Mercedes","156"
"2","Ferrari","133"
"3","Williams-Mecachrome","38"
"4","Jordan-Mugen-Honda","34"
"5","Benetton-Playlife","33"
"6","Sauber-Petronas","10"
"7","Arrows","6"
"8","Stewart-Ford","5"
"9","Prost-Peugeot","1"
"10","Minardi-Ford","0"
"11","Tyrrell-Ford","0"
