"Pos","Driver","Nationality","Team","Points"
"1","Nelson Piquet","Brazilian","Williams-Honda","73"
"2","Nigel Mansell","British","Williams-Honda","61"
"3","Ayrton Senna","Brazilian","Lotus-Honda","57"
"4","Alain Prost","French","McLaren-TAG","46"
"5","Gerhard Berger","Austrian","Ferrari","36"
"6","Stefan Johansson","Swedish","McLaren-TAG","30"
"7","Michele Alboreto","Italian","Ferrari","17"
"8","Thierry Boutsen","Belgian","Benetton-Ford","16"
"9","Teo Fabi","Italian","Benetton-Ford","12"
"10","Eddie  Cheever","American","Arrows-Megatron","8"
"11","Jonathan  Palmer","British","Tyrrell-Ford","7"
"12","Satoru Nakajima","Japanese","Lotus-Honda","7"
"13","Riccardo Patrese","Italian","Williams-Honda","6"
"14","Andrea de Cesaris","Italian","Brabham-BMW","4"
"15","Philippe Streiff","French","Tyrrell-Ford","4"
"16","Derek Warwick","British","Arrows-Megatron","3"
"17","Philippe Alliot","French","Lola-Ford","3"
"18","Martin Brundle","British","Zakspeed","2"
"19","Ivan Capelli","Italian","March-Ford","1"
"20","Rene Arnoux","French","Ligier-Megatron","1"
"21","Roberto Moreno","Brazilian","AGS- Ford","1"
"22","Christian Danner","German","Zakspeed","0"
"23","Piercarlo Ghinzani","Italian","Ligier-Megatron","0"
"24","Pascal Fabre","French","AGS- Ford","0"
"25","Yannick Dalmas","French","Lola-Ford","0"
"26","Alessandro Nannini","Italian","Minardi-Motori Moderni","0"
"27","Alex Caffi","Italian","Osella-Alfa Romeo","0"
"28","Adrian Campos","Spanish","Minardi-Motori Moderni","0"
"29","Franco Forini","Swiss","Osella-Alfa Romeo","0"
"30","Gabriele Tarquini","Italian","Osella-Alfa Romeo","0"
"31","Stefano Modena","Italian","Brabham-BMW","0"
"32","Nicola Larini","Italian","Coloni-Ford","0"
