"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Switzerland","18/05/1952","Piero  Taruffi","Ferrari","62","3:01'46.1"
"Indianapolis 500","30/05/1952","Troy Ruttman","Kuzma-Offenhauser","200","3:52'41.88"
"Belgium","22/06/1952","Alberto Ascari","Ferrari","36","3:03'46.3"
"France","06/07/1952","Alberto Ascari","Ferrari","77","3:00'00"
"Great Britain","19/07/1952","Alberto Ascari","Ferrari","85","2:44'11"
"Germany","03/08/1952","Alberto Ascari","Ferrari","18","3:06'13.3"
"Netherlands","17/08/1952","Alberto Ascari","Ferrari","90","2:53'28.5"
"Italy","07/09/1952","Alberto Ascari","Ferrari","80","2:50'45.6"
