"Pos","Driver","Nationality","Team","Points"
"1","Phil Hill","American","Ferrari","34"
"2","Wolfgang von Trips","German","Ferrari","33"
"3","Stirling Moss","British","Lotus-Maserati","21"
"4","Dan Gurney","American","Porsche","21"
"5","Richie Ginther","American","Ferrari","16"
"6","Innes Ireland","British","Lotus-Maserati","12"
"7","Jim Clark","British","Lotus-Maserati","11"
"8","Bruce McLaren","New Zealander","Cooper-Climax","11"
"9","Giancarlo Baghetti","Italian","Ferrari","9"
"10","Tony Brooks","British","BRM-Climax","6"
"11","Jack Brabham","Australian","Cooper-Climax","4"
"12","John Surtees","British","Cooper-Climax","4"
"13","Jackie  Lewis","British","Cooper-Climax","3"
"14","Olivier  Gendebien","Belgian","Lotus-Maserati","3"
"15","Jo Bonnier","Swedish","Porsche","3"
"16","Graham Hill","British","BRM-Climax","3"
"17","Roy Salvadori","British","Cooper-Climax","2"
"18","Maurice  Trintignant","French","Cooper-Climax","0"
"19","Carel Godin de Beaufort","Dutch","Porsche","0"
"20","Lorenzo Bandini","Italian","Cooper-Climax","0"
"21","Cliff Allison","British","Lotus-Maserati","0"
"22","Roger  Penske","American","Cooper-Climax","0"
"23","Hans  Herrmann","German","Porsche","0"
"24","Peter   Ryan","Canadian","Lotus-Maserati","0"
"25","Masten Gregory","American","Lotus-Maserati","0"
"26","Henry Taylor","British","Lotus-Maserati","0"
"27","Tim  Parnell","British","Lotus-Maserati","0"
"28","Hap  Sharp","American","Cooper-Climax","0"
"29","Tony Maggs","South African","Lotus-Maserati","0"
"30","Michael  May","Swiss","Lotus-Maserati","0"
"31","Ian Burgess","British","Cooper-Climax","0"
"32","Renato  Pirocchi","Italian","Cooper-Climax","0"
"33","Trevor  Taylor","British","Lotus-Maserati","0"
"34","Tony  Marsh","British","Lotus-Maserati","0"
"35","Keith  Greene","British","Gilby-Climax","0"
"36","Gerry  Ashmore","British","Lotus-Maserati","0"
"37","Wolfgang Seidel","German","Lotus-Maserati","0"
"38","Jim  Hall","American","Lotus-Maserati","0"
"39","Lloyd  Ruby","American","Lotus-Maserati","0"
"40","Gaetano   Starrabba","Italian","Lotus-Maserati","0"
"41","Willy Mairesse","Belgian","Ferrari","0"
"42","Ricardo  Rodriguez","Mexican","Ferrari","0"
"43","Walt   Hansgen","American","Cooper-Climax","0"
"44","Lucien Bianchi","Belgian","Lotus-Maserati","0"
"45","Bernard  Collomb","French","Cooper-Climax","0"
"46","Jack  Fairman","British","Cooper-Climax","0"
"47","Nino Vaccarella","Italian","De Tomaso-Osca","0"
"48","Giorgio  Scarlatti","Italian","De Tomaso-Osca","0"
"49","Brian  Naylor","British","JBW-Climax","0"
"50","Roberto Bussinello","Italian","De Tomaso-Osca","0"
"51","Massimo  Natili","Italian","Cooper-Climax","0"
"52","Andre Pilette","Belgian","Emeryson-Maserati","0"
"53","Roberto  Lippi","Italian","De Tomaso-Osca","0"
