"Pos","Team","Points"
"1","BRM","42"
"2","Lotus-Climax","36"
"3","Cooper-Climax","29"
"4","Lola-Climax","19"
"5","Porsche","18"
"6","Ferrari","18"
"7","Brabham-Climax","6"
"8","Lotus-BRM","1"
"9","Emeryson-Climax","0"
"10","ENB-Maserati","0"
"11","LDS- Alfa Romeo","0"
"12","Cooper-Alfa Romeo","0"
"13","Gilby-BRM","0"
"14","De Tomaso-Osca","0"
"15","De Tomaso","0"
