"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","28/01/1973","Emerson Fittipaldi","Lotus-Ford","96","1:56'18.22"
"Brazil","11/02/1973","Emerson Fittipaldi","Lotus-Ford","40","1:43'55.6"
"South Africa","03/03/1973","Jackie Stewart","Tyrrell-Ford","79","1:43'11.07"
"Spain","29/04/1973","Emerson Fittipaldi","Lotus-Ford","75","1:48'18.7"
"Belgium","20/05/1973","Jackie Stewart","Tyrrell-Ford","70","1:42'13.43"
"Monaco","03/06/1973","Jackie Stewart","Tyrrell-Ford","78","1:57'44.3"
"Sweden","17/06/1973","Denny Hulme","McLaren-Ford","80","1:56'46.049"
"France","01/07/1973","Ronnie Peterson","Lotus-Ford","54","1:41'36.52"
"Great Britain","14/07/1973","Peter   Revson","McLaren-Ford","67","1:29'18.5"
"Netherlands","29/07/1973","Jackie Stewart","Tyrrell-Ford","72","1:39'12.45"
"Germany","05/08/1973","Jackie Stewart","Tyrrell-Ford","14","1:42'03.0"
"Austria","19/08/1973","Ronnie Peterson","Lotus-Ford","54","1:28'48.78"
"Italy","09/09/1973","Ronnie Peterson","Lotus-Ford","55","1:29'17.0"
"Canada","23/09/1973","Peter   Revson","McLaren-Ford","80","1:59'04.083"
"United States","07/10/1973","Ronnie Peterson","Lotus-Ford","59","1:41'15.799"
