"Pos","Team","Points"
"1","McLaren-Honda","139"
"2","Williams-Renault","125"
"3","Ferrari","55.5"
"4","Benetton-Ford","38.5"
"5","Jordan-Ford","13"
"6","Tyrrell-Honda","12"
"7","Minardi-Ferrari","6"
"8","Dallara-Judd","5"
"9","Lotus-Judd","3"
"10","Brabham-Yamaha","3"
"11","Lola-Ford","2"
"12","Leyton House-Ilmor","1"
"13","Ligier-Lamborghini","0"
"14","Lambo-Lamborghini","0"
"15","AGS-Ford","0"
"16","Fondmetal-Ford","0"
"17","Footwork-Porsche","0"
"18","Coloni-Ford","0"
