"Pos","Team","Points"
"1","Lotus-Climax","54"
"2","BRM","45"
"3","Ferrari","26"
"4","Brabham-Climax","21"
"5","Cooper-Climax","14"
"6","Honda","11"
"7","Brabham-BRM","5"
"8","Lotus-BRM","2"
"9","Brabham-Ford","0"
"10","Alfa Romeo","0"
"11","LDS- Alfa Romeo","0"
"12","Cooper-Ford","0"
"13","LDS-Climax","0"
"14","Lotus-Ford","0"
