"Pos","Team","Points"
"1","Williams-Honda","141"
"2","McLaren-TAG","96"
"3","Lotus-Renault","58"
"4","Ferrari","37"
"5","Ligier-Renault","29"
"6","Benetton-BMW","19"
"7","Tyrrell-Renault","11"
"8","Lola-Ford","6"
"9","Brabham-BMW","2"
"10","Arrows-BMW","1"
"11","Zakspeed","0"
"12","Minardi-Motori Moderni","0"
"13","Lola-Hart","0"
"14","Osella-Alfa Romeo","0"
"15","AGS-Motori Moderni","0"
