"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","04/03/2001","Michael Schumacher","Ferrari","58","1:38'265.33"
"Malaysia","18/03/2001","Michael Schumacher","Ferrari","55","1:47'34.801"
"Brazil","01/04/2001","David Coulthard","McLaren-Mercedes","71","1:39'00.834"
"San Marino","15/04/2001","Ralf Schumacher","Williams-BMW","62","1:30'44.817"
"Spain","29/04/2001","Michael Schumacher","Ferrari","65","1:31'03.305"
"Austria","13/05/2001","David Coulthard","McLaren-Mercedes","71","1:27'45.927"
"Monaco","27/05/2001","Michael Schumacher","Ferrari","78","1:47'22.561"
"Canada","10/06/2001","Ralf Schumacher","Williams-BMW","69","1:34'31.522"
"Europe","24/06/2001","Michael Schumacher","Ferrari","67","1:29'42.724"
"France","01/07/2001","Michael Schumacher","Ferrari","72","1:33'35.636"
"Great Britain","15/07/2001","Mika Hakkinen","McLaren-Mercedes","60","1:25'33.770"
"Germany","29/07/2001","Ralf Schumacher","Williams-BMW","45","1:18'17.873"
"Hungary","19/08/2001","Michael Schumacher","Ferrari","77","1:41'49.675"
"Belgium","02/09/2001","Michael Schumacher","Ferrari","36","1:08'05.002"
"Italy","16/09/2001","Juan Pablo Montoya","Williams-BMW","53","1:16'58.493"
"United States","30/09/2001","Mika Hakkinen","McLaren-Mercedes","73","1:32'42.840"
"Japan","14/10/2001","Michael Schumacher","Ferrari","53","1:27'33.298"
