"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","01/01/1965","Jim Clark","Lotus-Climax","85","2.06'46.0"
"Monaco","30/05/1965","Graham Hill","BRM","100","2:37'39.6"
"Belgium","13/06/1965","Jim Clark","Lotus-Climax","32","2:23'34.8"
"France","27/06/1965","Jim Clark","Lotus-Climax","40","2:41'38.4"
"Great Britain","10/07/1965","Jim Clark","Lotus-Climax","80","2:05'25.4"
"Netherlands","18/07/1965","Jim Clark","Lotus-Climax","80","2:03'59.1"
"Germany","01/08/1965","Jim Clark","Lotus-Climax","15","2:07'52.4"
"Italy","12/09/1965","Jackie Stewart","BRM","76","2:04'52.8"
"United States","03/10/1965","Graham Hill","BRM","110","2:20'36.1"
"Mexico","24/10/1965","Richie Ginther","Honda","65","2:08'32.10"
