"Pos","Driver","Nationality","Team","Points"
"1","Jack Brabham","Australian","Cooper-Osca","31"
"2","Tony Brooks","British","Ferrari","27"
"3","Stirling Moss","British","Cooper-Osca","25.5"
"4","Phil Hill","American","Ferrari","20"
"5","Maurice  Trintignant","French","Cooper-Osca","19"
"6","Bruce McLaren","New Zealander","Cooper-Osca","16.5"
"7","Dan Gurney","American","Ferrari","13"
"8","Jo Bonnier","Swedish","BRM","10"
"9","Masten Gregory","American","Cooper-Osca","10"
"10","Rodger Ward","American","Kurtis Kraft-Offenhauser","8"
"11","Jim Rathmann","American","Watson-Offenhauser","6"
"12","Johnny Thomson","American","Lesovsky-Offenhauser","5"
"13","Harry Schell","American","Cooper-Osca","5"
"14","Innes Ireland","British","Lotus-Climax","5"
"15","Olivier  Gendebien","Belgian","Ferrari","3"
"16","Tony  Bettenhausen","American","Epperly- Offenhauser","3"
"17","Cliff Allison","British","Ferrari","2"
"18","Paul Goldsmith","American","Epperly- Offenhauser","2"
"19","Jean Behra","French","Ferrari","2"
"20","Roy Salvadori","British","Cooper-Osca","0"
"21","Ron Flockhart","British","BRM","0"
"22","Ian Burgess","British","Cooper-Osca","0"
"23","Wolfgang von Trips","German","Ferrari","0"
"24","Johnny  Boyd","American","Epperly- Offenhauser","0"
"25","Graham Hill","British","Lotus-Climax","0"
"26","Duane Carter","American","Kurtis Kraft-Offenhauser","0"
"27","Harry  Blanchard","American","Porsche","0"
"28","Carroll  Shelby","American","Aston Martin","0"
"29","Giorgio  Scarlatti","Italian","Cooper-Osca","0"
"30","Alan  Stacey","British","Lotus-Climax","0"
"31","Eddie Johnson","American","Kurtis Kraft-Offenhauser","0"
"32","Carel Godin de Beaufort","Dutch","Maserati","0"
"33","Paul Russo","American","Kurtis Kraft-Offenhauser","0"
"34","Fritz d'   Orey","Brazilian","Tec-Mec-Maserati","0"
"35","Mario  de Araujo Cabral","Portuguese","Cooper-Osca","0"
"36","Chris  Bristow","British","Cooper-Osca","0"
"37","A J  Foyt","American","Kuzma-Offenhauser","0"
"38","Colin  Davis","British","Cooper-Osca","0"
"39","Henry Taylor","British","Cooper-Osca","0"
"40","Gene Hartley","American","Kuzma-Offenhauser","0"
"41","Peter  Ashdown","British","Cooper-Osca","0"
"42","Bob  Veith","American","Moore-Offenhauser","0"
"43","Ivor  Bueb","British","Cooper-Osca","0"
"44","Al  Herman","American","Dunn-Offenhauser","0"
"45","Jimmy  Daywalt","American","Kurtis Kraft-Offenhauser","0"
"46","Chuck  Arnold","American","Kurtis Kraft-Offenhauser","0"
"47","Giulio Cabianca","Italian","Maserati","0"
"48","Jim  McWithey","American","Kurtis Kraft-Offenhauser","0"
"49","Hans  Herrmann","German","BRM","0"
"50","Alessandro de Tomaso","Argentinean","Cooper-Osca","0"
"51","Bruce  Halford","British","Lotus-Climax","0"
"52","George  Constantine","American","Cooper-Osca","0"
"53","Jack  Fairman","British","Cooper-Osca","0"
"54","Eddie  Sachs","American","Kuzma-Offenhauser","0"
"55","Al  Keller","American","Kuzma-Offenhauser","0"
"56","Bob  Said","American","Connaught","0"
"57","Phil   Cade","American","Maserati","0"
"58","Alain de Changy","Belgian","Cooper-Osca","0"
"59","Pat Flaherty","American","Watson-Offenhauser","0"
"60","Dick Rathmann","American","Watson-Offenhauser","0"
"61","Lucien Bianchi","Belgian","Cooper-Osca","0"
"62","David  Piper","British","Lotus-Climax","0"
"63","Maria Teresa de Filippis","Italian","Porsche","0"
"64","Bill  Cheesbourg","American","Kuzma-Offenhauser","0"
"65","Azdrubal  Fontes","Uruguayan","Maserati","0"
"66","Don  Freeland","American","Kurtis Kraft-Offenhauser","0"
"67","Brian  Naylor","British","JBW-Maserati","0"
"68","Pete  Lovely","American","Lotus-Climax","0"
"69","Mike  Taylor","British","Cooper-Osca","0"
"70","Jean  Lucienbonnet","French","Cooper-Osca","0"
"71","Ray  Crawford","American","Elder-Offenhauser","0"
"72","Andre  Testut","Monegasque","Maserati","0"
"73","Don  Branson","American","Phillips-Offenhauser","0"
"74","Bob  Christie","American","Kurtis Kraft-Offenhauser","0"
"75","Keith  Greene","British","Cooper-Osca","0"
"76","Bill  Moss","British","Cooper-Osca","0"
"77","Bobby  Grim","American","Kurtis Kraft-Offenhauser","0"
"78","Jack  Turner","American","Christensen-Offenhauser","0"
"79","Mike  Parkes","BRITISH","Fry-Climax","0"
"80","Dennis  Taylor","British","Lotus-Climax","0"
"81","Jud  Larson","American","Kurtis Kraft-Offenhauser","0"
"82","Red  Amick","American","Kurtis Kraft-Offenhauser","0"
"83","Trevor  Taylor","British","Cooper-Osca","0"
"84","Tim  Parnell","British","Cooper-Osca","0"
"85","Chuck  Weyant","American","Kurtis Kraft-Offenhauser","0"
"86","Len  Sutton","American","Lesovsky-Offenhauser","0"
"87","Mike  Magill","American","Sutton-Offenhauser","0"
"88","Jimmy Bryan","American","Epperly- Offenhauser","0"
