"Pos","Driver","Nationality","Team","Points"
"1","Jody Scheckter","South African","Ferrari","51"
"2","Gilles Villeneuve","Canadian","Ferrari","47"
"3","Alan  Jones","Australian","Williams-Ford","40"
"4","Jacques Laffite","French","Ligier-Ford","36"
"5","Clay Regazzoni","Swiss","Williams-Ford","29"
"6","Patrick Depailler","French","Ligier-Ford","20"
"7","Carlos Reutemann","Argentinean","Lotus-Ford","20"
"8","Rene Arnoux","French","Renault","17"
"9","John Watson","British","McLaren-Ford","15"
"10","Didier Pironi","French","Tyrrell-Ford","14"
"11","Jean Pierre Jarier","French","Tyrrell-Ford","14"
"12","Mario Andretti","American","Lotus-Ford","14"
"13","Jean Pierre Jabouille","French","Renault","9"
"14","Niki Lauda","Austrian","Brabham-Ford","4"
"15","Elio de Angelis","Italian","Shadow-Ford","3"
"16","Nelson Piquet","Brazilian","Brabham-Ford","3"
"17","Jacky Ickx","Belgian","Ligier-Ford","3"
"18","Jochen Mass","German","Arrows-Ford","3"
"19","Hans Joachim Stuck","German","ATS-Ford","2"
"20","Riccardo Patrese","Italian","Arrows-Ford","2"
"21","Emerson Fittipaldi","Brazilian","Fittipaldi-Ford","1"
"22","Hector Rebaque","Mexican","Rebaque-Ford","0"
"23","Patrick Tambay","French","McLaren-Ford","0"
"24","Ricardo Zunino","Argentinean","Brabham-Ford","0"
"25","Geoff Lees","British","Tyrrell-Ford","0"
"26","Derek Daly","Irish","Tyrrell-Ford","0"
"27","James Hunt","British","Wolf-Ford","0"
"28","Jan Lammers","Dutch","Shadow-Ford","0"
"29","Keke Rosberg","Finnish","Wolf-Ford","0"
"30","Vittorio Brambilla","Italian","Alfa Romeo","0"
"31","Patrick Gaillard","French","Ensign-Ford","0"
"32","Bruno Giacomelli","Italian","Alfa Romeo","0"
"33","Marc Surer","Swiss","Ensign-Ford","0"
"34","Arturo Merzario","Italian","Merzario-Ford","0"
"35","Gianfranco Brancatelli","Italian","Merzario-Ford","0"
"36","Alex Ribeiro","Brazilian","Fittipaldi-Ford","0"
