"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"South Africa","23/01/1982","Alain Prost","Renault","77","1:32'08.401"
"Brazil","21/03/1982","Alain Prost","Renault","63","1:44'33.134"
"USA West","04/04/1982","Niki Lauda","McLaren-Ford","75","1:58'25.318"
"San Marino","25/04/1982","Didier Pironi","Ferrari","60","1:36'38.887"
"Belgium","09/05/1982","John Watson","McLaren-Ford","70","1:35'41.995"
"Monaco","23/05/1982","Riccardo Patrese","Brabham-Ford","76","1:54'11.259"
"USA East","06/06/1982","John Watson","McLaren-Ford","62","1:58'41.043"
"Canada","13/06/1982","Nelson Piquet","Brabham-BMW","70","1:46'39.577"
"Netherlands","03/07/1982","Didier Pironi","Ferrari","72","1:38'03.254"
"Great Britain","18/07/1982","Niki Lauda","McLaren-Ford","76","1:35'33.812"
"France","25/07/1982","Rene Arnoux","Renault","54","1:33'33.217"
"Germany","08/08/1982","Patrick Tambay","Ferrari","45","1:27'25.178"
"Austria","15/08/1982","Elio de Angelis","Lotus-Ford","53","1:25'02.212"
"Switzerland","29/08/1982","Keke Rosberg","Williams-Ford","80","1:32'41.087"
"Italy","12/09/1982","Rene Arnoux","Renault","52","1:22'25.734"
"Las Vegas","25/09/1982","Michele Alboreto","Tyrrell-Ford","75","1:41'56.888"
