"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Benetton-Renault","102"
"2","Damon Hill","British","Williams-Renault","69"
"3","David Coulthard","British","Williams-Renault","49"
"4","Johnny Herbert","British","Benetton-Renault","45"
"5","Jean Alesi","French","Ferrari","42"
"6","Gerhard Berger","Austrian","Ferrari","31"
"7","Mika Hakkinen","Finnish","McLaren-Mercedes","17"
"8","Olivier Panis","French","Ligier-Mugen-Honda","16"
"9","Heinz-Harald Frentzen","German","Sauber-Ford","15"
"10","Mark Blundell","British","McLaren-Mercedes","13"
"11","Rubens Barrichello","Brazilian","Jordan-Peugeot","11"
"12","Eddie Irvine","British","Jordan-Peugeot","10"
"13","Martin Brundle","British","Ligier-Mugen-Honda","7"
"14","Gianni Morbidelli","Italian","Footwork-Hart","5"
"15","Mika Salo","Finnish","Tyrrell-Yamaha","5"
"16","Jean-Christophe Boullion","French","Sauber-Ford","3"
"17","Aguri Suzuki","Japanese","Ligier-Mugen-Honda","1"
"18","Pedro Lamy","Portuguese","Minardi-Ford","1"
"19","Pierluigi Martini","Italian","Minardi-Ford","0"
"20","Ukyo Katayama","Japanese","Tyrrell-Yamaha","0"
"21","Pedro Diniz","Brazilian","Forti-Ford","0"
"22","Massimiliano Papis","Italian","Footwork-Hart","0"
"23","Luca Badoer","Italian","Minardi-Ford","0"
"24","Taki Inoue","Japanese","Footwork-Hart","0"
"25","Andrea Montermini","Italian","Pacific-Ilmor","0"
"26","Bertrand Gachot","French","Pacific-Ilmor","0"
"27","Domenico Schiattarella","Italian","Simtek-Ford","0"
"28","Karl Wendlinger","Austrian","Sauber-Ford","0"
"29","Nigel Mansell","British","McLaren-Mercedes","0"
"30","Jan Magnussen","Danish","McLaren-Mercedes","0"
"31","Jos Verstappen","Dutch","Simtek-Ford","0"
"32","Roberto Moreno","Brazilian","Forti-Ford","0"
"33","Gabriele Tarquini","Italian","Tyrrell-Yamaha","0"
"34","Jean-Denis Deletraz","Swiss","Pacific-Ilmor","0"
"35","Giovanni Lavaggi","Italian","Pacific-Ilmor","0"
