"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Ferrari","123"
"2","David Coulthard","British","McLaren-Mercedes","65"
"3","Rubens Barrichello","Brazilian","Ferrari","56"
"4","Ralf Schumacher","German","Williams-BMW","49"
"5","Mika Hakkinen","Finnish","McLaren-Mercedes","37"
"6","Juan Pablo Montoya","Colombian","Williams-BMW","31"
"7","Jacques Villeneuve","Canadian","BAR-Honda","12"
"8","Nick Heidfeld","German","Sauber-Petronas","12"
"9","Jarno Trulli","Italian","Jordan-Honda","12"
"10","Kimi Räikkönen","Finnish","Sauber-Petronas","9"
"11","Giancarlo Fisichella","Italian","Benetton-Renault","8"
"12","Eddie Irvine","British","Jaguar-Cosworth","6"
"13","Heinz-Harald Frentzen","German","Prost-Acer","6"
"14","Olivier Panis","French","BAR-Honda","5"
"15","Jean Alesi","French","Jordan-Honda","5"
"16","Pedro de la Rosa","Spanish","Jaguar-Cosworth","3"
"17","Jenson Button","British","Benetton-Renault","2"
"18","Jos Verstappen","Dutch","Arrows-Asiatech","1"
"19","Ricardo Zonta","Brazillian","Jordan-Honda","0"
"20","Luciano Burti","Brazilian","Prost-Acer","0"
"21","Enrique Bernoldi","Brazilian","Arrows-Asiatech","0"
"22","Tarso Marques","Brazilian","Minardi-European","0"
"23","Fernando Alonso","Spanish","Minardi-European","0"
"24","Tomas Enge","Czechoslovakian","Prost-Acer","0"
"25","Gaston Mazzacane","Argentinean","Prost-Acer","0"
"26","Alex Yoong","Malaysian","Minardi-European","0"
