"Pos","Team","Points"
"1","Williams-Renault","175"
"2","Ferrari","70"
"3","Benetton-Renault","68"
"4","McLaren-Mercedes","49"
"5","Jordan-Peugeot","22"
"6","Ligier-Mugen-Honda","15"
"7","Sauber-Ford","11"
"8","Tyrrell-Yamaha","5"
"9","Footwork-Hart","1"
"10","Minardi-Ford","0"
"11","Forti-Ford","0"
