"Pos","Team","Points"
"1","Ferrari","262"
"2","BAR-Honda","119"
"3","Renault","105"
"4","Williams-BMW","88"
"5","McLaren-Mercedes","69"
"6","Sauber-Petronas","34"
"7","Jaguar-Cosworth","10"
"8","Toyota","9"
"9","Jordan-Ford","5"
"10","Minardi-Cosworth","1"
