"Pos","Team","Points"
"1","Vanwall","48"
"2","Ferrari","40"
"3","Cooper-Climax","31"
"4","BRM","18"
"5","Maserati","6"
"6","Lotus-Climax","3"
"7","Watson-Offenhauser","0"
"8","Phillips-Offenhauser","0"
"9","Kurtis Kraft-Offenhauser","0"
"10","Kurtis Kraft-Novi","0"
"11","Cooper-Climax F2","0"
"12","Porsche","0"
"13","Kuzma-Offenhauser","0"
"14","Connaught-Alta","0"
"15","Lotus-Climax F2","0"
"16","Lesovsky-Offenhauser","0"
"17","Porsche F2","0"
"18","Osca","0"
"19","Dunn-Offenhauser","0"
