"Pos","Team","Points"
"1","McLaren- Honda","141"
"2","Williams-Renault","77"
"3","Ferrari","59"
"4","Benetton-Ford","39"
"5","Tyrrell-Ford","16"
"6","Lotus-Judd","15"
"7","Arrows-Ford","13"
"8","Dallara-Ford","8"
"9","Brabham-Judd","8"
"10","Onyx-Ford","6"
"11","Minardi-Ford","6"
"12","March-Judd","4"
"13","Rial-Ford","3"
"14","Ligier-Ford","3"
"15","AGS-Ford","1"
"16","Lola-Lamborghini","1"
"17","Osella-Ford","0"
"18","Coloni-Ford","0"
"19","Zakspeed-Yamaha","0"
"20","Euro Brun-Judd","0"
