"Pos","Driver","Nationality","Team","Points"
"1","Graham Hill","British","Lotus-Ford","48"
"2","Jackie Stewart","British","Matra-Ford","36"
"3","Denny Hulme","New Zealander","McLaren-BRM","33"
"4","Jacky Ickx","Belgian","Ferrari","27"
"5","Bruce McLaren","New Zealander","McLaren-BRM","22"
"6","Pedro Rodriguez","Mexican","BRM","18"
"7","Jo Siffert","Swiss","Lotus-Ford","12"
"8","John Surtees","British","Honda","12"
"9","Jean Pierre  Beltoise","French","Matra-Ford","11"
"10","Chris Amon","New Zealander","Ferrari","10"
"11","Jim Clark","British","Lotus-Ford","9"
"12","Jochen Rindt","Austrian","Brabham-Repco","8"
"13","Richard Attwood","British","BRM","6"
"14","Johnny  Servoz-Gavin","French","Matra-Ford","6"
"15","Jackie Oliver","British","Lotus-Ford","6"
"16","Ludovico Scarfiotti","Italian","Cooper-Maserati","6"
"17","Lucien Bianchi","Belgian","Cooper-Maserati","5"
"18","Vic  Elford","British","Cooper-Maserati","5"
"19","Brian   Redman","British","Cooper-Maserati","4"
"20","Piers   Courage","British","BRM","4"
"21","Dan Gurney","American","McLaren-BRM","3"
"22","Jo Bonnier","Swedish","Honda","3"
"23","Jack Brabham","Australian","Brabham-Repco","2"
"24","Silvio  Moser","Swiss","Brabham-Repco","2"
"25","Henri Pescarolo","French","Matra-Ford","0"
"26","John Love","Rhodesian","Brabham-Repco","0"
"27","Hubert  Hahne","German","Lola-BMW","0"
"28","Kurt  Ahrens","German","Brabham-Repco","0"
"29","David   Hobbs","British","Honda","0"
"30","Jackie Pretorius","South African","Brabham-Repco","0"
"31","Robin   Widdows","British","Cooper-Maserati","0"
"32","Sam Tingle","Rhodesian","LDS-Repco","0"
"33","Basil van Rooyen","South African","Cooper-Maserati","0"
"34","Moises Solana","Mexican","Lotus-Ford","0"
"35","Jo  Schlesser","French","Honda","0"
"36","Bobby   Unser","American","BRM","0"
"37","Bill   Brack","Canadian","Lotus-Ford","0"
"38","Mario Andretti","American","Lotus-Ford","0"
"39","Derek Bell","British","Ferrari","0"
"40","Andrea de Adamich","Italian","Ferrari","0"
"41","Mike Spence","British","BRM","0"
"42","Frank Gardner","Australian","BRM","0"
"43","Dave Charlton","South African","Brabham-Repco","0"
